,Trittrittbangbang,Miss Vung Tau,Our Star Watch Nz,Pontevivo,Lil Happy Fella,Leosabi,Justlike Turbo,Naval Aviator,Whoswhointhezoo,Blue Blazer Nz,Valentines Brook,Wall Street Girl
10-01-2023 20:37:38.251889,"(31.0, 90.0, 83.75)","(71.0, 150.0, 125.38461538461539)","(18.0, 99999, 99990)","(5.0, 6.0, 5.822222222222222)","(51.0, 95.0, 92.5)","(6.0, 10.5, 10.129411764705882)","(61.0, 140.0, 116.0)","(71.0, 280.0, 262.8571428571429)","(101.0, 560.0, 260.0)","(26.0, 99999, 99990)","(1.6, 1.75, 1.769548872180451)","(14.0, 21.0, 14.759615384615385)"
10-01-2023 20:37:39.751386,"(31.0, 90.0, 81.66666666666666)","(71.0, 150.0, 125.38461538461539)","(18.0, 99999, 99990)","(5.0, 6.0, 5.828571428571428)","(51.0, 95.0, 78.46153846153847)","(6.0, 10.5, 10.261764705882353)","(61.0, 140.0, 116.0)","(71.0, 280.0, 225.0)","(101.0, 560.0, 260.0)","(26.0, 99999, 99990)","(1.6, 1.77, 1.7498349834983498)","(14.0, 15.0, 19.0)"
10-01-2023 20:37:41.249912,"(31.0, 90.0, 84.23076923076923)","(71.0, 150.0, 125.38461538461539)","(18.0, 99999, 99990)","(5.0, 6.4, 5.92)","(51.0, 80.0, 78.46153846153847)","(6.0, 10.5, 10.153846153846153)","(61.0, 140.0, 116.0)","(71.0, 280.0, 225.0)","(101.0, 560.0, 260.0)","(26.0, 99999, 99990)","(1.6, 1.75, 1.7502173913043477)","(14.0, 21.0, 17.884615384615383)"
10-01-2023 20:37:42.661695,"(31.0, 90.0, 84.23076923076923)","(71.0, 150.0, 125.38461538461539)","(19.0, 99999, 99990)","(5.0, 6.2, 5.926315789473684)","(51.0, 80.0, 78.46153846153847)","(6.0, 10.5, 10.2)","(61.0, 140.0, 116.0)","(71.0, 280.0, 243.33333333333331)","(101.0, 560.0, 260.0)","(26.0, 99999, 99990)","(1.6, 1.76, 1.7405555555555556)","(14.0, 21.0, 17.884615384615383)"
10-01-2023 20:37:44.187999,"(31.0, 90.0, 84.23076923076923)","(71.0, 150.0, 125.38461538461539)","(19.0, 99999, 99990)","(5.0, 6.2, 5.926315789473684)","(51.0, 80.0, 78.46153846153847)","(6.0, 10.5, 10.2)","(61.0, 140.0, 116.0)","(71.0, 280.0, 246.66666666666669)","(101.0, 560.0, 325.0)","(26.0, 99999, 99990)","(1.6, 1.76, 1.7423076923076923)","(14.0, 21.0, 17.884615384615383)"
10-01-2023 20:37:45.688561,"(41.0, 90.0, 115.0)","(81.0, 150.0, 260.0)","(19.0, 99999, 99990)","(5.0, 6.2, 7.45)","(51.0, 80.0, 86.0)","(6.5, 10.5, 9.24)","(61.0, 140.0, 140.0)","(81.0, 280.0, 211.66666666666666)","(101.0, 490.0, 292.5)","(26.0, 99999, 99990)","(1.6, 1.76, 1.742)","(13.0, 21.0, 13.5)"
10-01-2023 20:37:47.197083,"(41.0, 140.0, 102.33333333333333)","(81.0, 450.0, 260.0)","(19.0, 99999, 99990)","(5.0, 8.8, 11.09)","(51.0, 130.0, 81.33333333333334)","(6.5, 12.0, 12.8)","(61.0, 320.0, 140.0)","(81.0, 290.0, 211.66666666666666)","(101.0, 490.0, 292.5)","(26.0, 99999, 99990)","(1.6, 1.88, 1.742)","(13.0, 21.0, 21.5)"
10-01-2023 20:37:48.647098,"(41.0, 140.0, 102.33333333333333)","(81.0, 450.0, 210.0)","(19.0, 99999, 99990)","(5.0, 14.0, 11.09)","(51.0, 160.0, 86.0)","(6.5, 15.5, 14.944444444444445)","(61.0, 320.0, 120.0)","(81.0, 290.0, 276.47058823529414)","(101.0, 490.0, 292.5)","(26.0, 99999, 99990)","(1.6, 1.88, 1.738)","(13.0, 32.0, 18.5)"
10-01-2023 20:37:50.050676,"(41.0, 130.0, 107.33333333333334)","(81.0, 350.0, 210.0)","(19.0, 99999, 99990)","(5.0, 14.0, 10.433333333333334)","(51.0, 130.0, 36.78260869565217)","(6.5, 15.5, 14.944444444444445)","(61.0, 190.0, 120.0)","(81.0, 290.0, 233.75)","(101.0, 490.0, 292.5)","(26.0, 99999, 99990)","(1.6, 1.87, 1.738)","(13.0, 26.0, 18.5)"
10-01-2023 20:37:51.436331,"(41.0, 120.0, 47.25)","(81.0, 350.0, 82.5)","(19.0, 99999, 99990)","(5.0, 13.5, 5.2)","(51.0, 48.0, 36.78260869565217)","(6.5, 15.5, 16.1)","(61.0, 190.0, 175.0)","(81.0, 290.0, 233.75)","(101.0, 490.0, 292.5)","(26.0, 99999, 99990)","(1.6, 1.87, 1.792857142857143)","(13.0, 26.0, 12.2)"
10-01-2023 20:37:52.965410,"(41.0, 50.0, 40.0)","(81.0, 95.0, 82.5)","(19.0, 99999, 99990)","(5.0, 6.0, 10.7625)","(51.0, 48.0, 10.464285714285715)","(6.5, 17.5, 14.25)","(61.0, 210.0, 165.0)","(81.0, 290.0, 275.3333333333333)","(101.0, 490.0, 295.0)","(26.0, 99999, 99990)","(1.6, 1.87, 1.7919999999999998)","(13.0, 17.0, 12.6)"
10-01-2023 20:37:54.411514,"(41.0, 50.0, 66.5)","(81.0, 95.0, 115.0)","(19.0, 99999, 99990)","(5.0, 13.5, 8.433333333333334)","(51.0, 19.5, 10.850000000000001)","(6.5, 17.5, 13.25)","(61.0, 190.0, 193.33333333333334)","(81.0, 290.0, 275.3333333333333)","(101.0, 490.0, 295.0)","(26.0, 99999, 99990)","(1.6, 2.0, 1.8)","(13.0, 17.0, 13.333333333333334)"
10-01-2023 20:37:55.787565,"(41.0, 95.0, 66.5)","(81.0, 160.0, 106.66666666666666)","(19.0, 99999, 99990)","(5.0, 12.5, 11.3)","(51.0, 17.0, 7.5)","(6.5, 18.5, 16.9)","(61.0, 220.0, 220.0)","(81.0, 290.0, 236.25)","(101.0, 490.0, 300.0)","(26.0, 99999, 99990)","(1.6, 2.0, 1.6866666666666665)","(13.0, 17.0, 18.0)"
10-01-2023 20:37:57.311151,"(41.0, 95.0, 62.5)","(81.0, 180.0, 130.0)","(19.0, 99999, 99990)","(5.0, 12.0, 10.2)","(51.0, 18.5, 6.449999999999999)","(6.5, 18.5, 15.25)","(61.0, 300.0, 220.0)","(81.0, 290.0, 236.25)","(101.0, 500.0, 300.0)","(26.0, 99999, 99990)","(1.6, 1.72, 1.7185185185185186)","(13.0, 24.0, 18.75)"
