,Dr Julienne,Green La La,Dr Callie,My Dreamer,Gero Lads,Sweet Lola,Hustle Hustle,Jayville Crew
11-01-2023 18:30:18.739012,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 32.0, 19.0)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:20.126836,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 32.0, 19.0)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:21.724067,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 32.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:23.236241,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:24.739271,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:26.363651,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:27.824108,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:29.239909,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:30.622760,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:32.002654,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:33.303719,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:34.633306,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:36.035642,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:37.400980,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:38.907780,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:40.184635,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:41.569401,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:42.828730,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:44.209858,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:45.575344,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:46.912579,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:48.258371,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:49.759586,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:51.229636,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:52.598166,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:53.901287,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:55.198130,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:56.441365,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
