,Le Heros,Hail To The Chief,Du Maurier,Valley Of Dreams,Torbreck
07-12-2022 13:59:02.550063,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.177777777777779)","(7.0, 10.0, 9.615384615384615)","(2.45, 2.94, 2.916)","(5.5, 6.4, 6.243678160919541)"
07-12-2022 13:59:03.549474,"(3.1, 3.6, 3.541666666666667)","(6.0, 9.8, 9.177777777777779)","(7.0, 10.0, 9.615384615384615)","(2.45, 2.94, 2.916)","(5.5, 6.4, 6.243678160919541)"
07-12-2022 13:59:04.422684,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.177777777777779)","(7.0, 10.0, 9.615384615384615)","(2.45, 2.94, 2.916)","(5.5, 6.4, 6.243678160919541)"
07-12-2022 13:59:05.300099,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.177777777777779)","(7.0, 9.8, 9.4)","(2.45, 2.94, 2.916)","(5.5, 6.4, 6.243678160919541)"
07-12-2022 13:59:06.285154,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.177777777777779)","(7.0, 9.8, 9.266666666666667)","(2.45, 2.94, 2.916)","(5.5, 6.4, 6.243678160919541)"
07-12-2022 13:59:07.321059,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.177777777777779)","(7.0, 9.8, 9.266666666666667)","(2.45, 2.94, 2.916)","(5.5, 6.4, 6.243678160919541)"
07-12-2022 13:59:08.217202,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.177777777777779)","(7.0, 9.8, 9.266666666666667)","(2.45, 2.94, 2.916)","(5.5, 6.4, 6.243678160919541)"
07-12-2022 13:59:09.033751,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.290909090909091)","(7.0, 9.8, 9.266666666666667)","(2.45, 2.94, 2.916)","(5.5, 6.4, 6.255421686746988)"
07-12-2022 13:59:10.043258,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.290909090909091)","(7.0, 9.8, 9.266666666666667)","(2.45, 2.94, 2.916)","(5.5, 6.4, 6.255421686746988)"
07-12-2022 13:59:11.046088,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.290909090909091)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.916)","(5.5, 6.4, 6.243678160919541)"
07-12-2022 13:59:11.926955,"(3.2, 3.6, 3.5475000000000003)","(5.5, 9.8, 9.290909090909091)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.916)","(5.5, 6.4, 6.243678160919541)"
