,Peak Contributer,Battle Award,Bin Chicken,Coudreau,Hello Carol,Howling Victory,Lambeau Leap,Little Complicated,Sherman,Trianon
08-01-2023 13:12:21.370318,"(4.4, 5.5, 5.237078651685393)","(21.0, 36.0, 29.77777777777778)","(71.0, 100.0, 96.92307692307692)","(6.5, 7.6, 7.492307692307692)","(13.0, 16.5, 16.480392156862745)","(1.95, 2.2, 2.1482491186839012)","(101.0, 380.0, 379.4736842105263)","(101.0, 350.0, 347.94871794871796)","(71.0, 100.0, 96.38888888888889)","(8.5, 11.0, 10.740506329113924)"
08-01-2023 13:12:22.734173,"(4.4, 5.5, 5.273684210526316)","(21.0, 36.0, 29.636363636363637)","(71.0, 100.0, 97.33333333333333)","(6.5, 7.6, 7.526315789473684)","(13.0, 16.5, 16.486301369863014)","(1.95, 2.2, 2.1500680272108843)","(101.0, 380.0, 379.4736842105263)","(101.0, 350.0, 348.0)","(71.0, 100.0, 96.48648648648648)","(8.5, 11.0, 10.767045454545455)"
08-01-2023 13:12:24.057786,"(4.4, 5.5, 5.304545454545455)","(21.0, 36.0, 29.91304347826087)","(71.0, 100.0, 97.33333333333333)","(6.5, 7.6, 7.526315789473684)","(13.0, 16.5, 16.486301369863014)","(1.95, 2.2, 2.163149606299213)","(101.0, 380.0, 379.4736842105263)","(101.0, 350.0, 348.0)","(81.0, 100.0, 96.48648648648648)","(8.5, 11.0, 10.764367816091955)"
08-01-2023 13:12:25.389543,"(4.4, 5.5, 5.331428571428572)","(21.0, 36.0, 29.91304347826087)","(71.0, 100.0, 97.33333333333333)","(6.5, 7.6, 7.746067415730337)","(13.0, 16.5, 16.486301369863014)","(1.95, 2.18, 2.163149606299213)","(101.0, 380.0, 379.4736842105263)","(101.0, 350.0, 347.89473684210526)","(81.0, 100.0, 96.48648648648648)","(8.5, 11.0, 10.764367816091955)"
08-01-2023 13:12:26.718579,"(4.4, 5.5, 5.331428571428572)","(21.0, 36.0, 29.91304347826087)","(71.0, 100.0, 97.33333333333333)","(6.5, 7.8, 7.747826086956522)","(13.0, 16.5, 16.15686274509804)","(1.95, 2.18, 2.1632411067193678)","(101.0, 380.0, 379.4736842105263)","(101.0, 350.0, 347.89473684210526)","(81.0, 100.0, 96.48648648648648)","(8.5, 11.0, 10.767441860465116)"
08-01-2023 13:12:28.025482,"(4.4, 5.5, 5.3104000000000005)","(21.0, 36.0, 29.91304347826087)","(71.0, 100.0, 97.33333333333333)","(6.5, 7.8, 7.747826086956522)","(13.0, 17.0, 16.15686274509804)","(1.95, 2.18, 2.164297520661157)","(101.0, 380.0, 379.4736842105263)","(101.0, 350.0, 347.89473684210526)","(81.0, 100.0, 96.48648648648648)","(8.5, 11.0, 10.773809523809524)"
08-01-2023 13:12:29.336675,"(4.4, 5.5, 5.297826086956522)","(21.0, 36.0, 30.166666666666668)","(71.0, 100.0, 97.33333333333333)","(6.5, 7.8, 7.747826086956522)","(13.0, 17.0, 16.15686274509804)","(1.95, 2.18, 2.1633333333333336)","(101.0, 380.0, 379.4736842105263)","(101.0, 350.0, 347.89473684210526)","(81.0, 100.0, 96.48648648648648)","(8.5, 11.0, 10.773809523809524)"
08-01-2023 13:12:30.626999,"(4.4, 5.5, 5.297826086956522)","(21.0, 36.0, 32.75)","(71.0, 100.0, 97.33333333333333)","(6.5, 7.8, 7.671028037383177)","(13.0, 17.0, 16.15686274509804)","(1.95, 2.18, 2.149027777777778)","(101.0, 380.0, 379.4736842105263)","(101.0, 350.0, 347.89473684210526)","(81.0, 100.0, 96.48648648648648)","(8.5, 11.0, 10.773809523809524)"
08-01-2023 13:12:31.970168,"(4.4, 5.4, 5.338461538461539)","(21.0, 34.0, 32.75)","(71.0, 100.0, 97.33333333333333)","(6.5, 7.8, 7.671028037383177)","(13.0, 17.0, 16.15686274509804)","(1.95, 2.2, 2.149027777777778)","(101.0, 380.0, 379.4736842105263)","(101.0, 350.0, 347.89473684210526)","(81.0, 100.0, 96.48648648648648)","(8.5, 11.0, 10.773809523809524)"
08-01-2023 13:12:33.319863,"(4.4, 5.4, 5.430769230769231)","(21.0, 34.0, 34.333333333333336)","(71.0, 100.0, 116.66666666666666)","(6.5, 7.8, 9.933333333333334)","(13.0, 17.0, 18.0)","(1.95, 2.2, 1.9337931034482758)","(101.0, 380.0, 5034.5)","(101.0, 350.0, 9101.818181818182)","(81.0, 100.0, 130.0)","(8.5, 11.0, 11.5)"
08-01-2023 13:12:34.644637,"(4.4, 6.2, 4.315384615384615)","(21.0, 55.0, 34.333333333333336)","(71.0, 230.0, 116.66666666666666)","(6.5, 12.5, 9.933333333333334)","(13.0, 21.0, 18.0)","(1.95, 2.52, 1.9337931034482758)","(101.0, 99999, 5034.5)","(101.0, 99999, 9101.818181818182)","(81.0, 290.0, 130.0)","(8.5, 16.0, 11.5)"
08-01-2023 13:12:35.968808,"(4.4, 6.2, 4.315384615384615)","(21.0, 55.0, 32.0)","(71.0, 230.0, 110.0)","(6.5, 12.5, 10.076923076923077)","(13.0, 21.0, 18.0)","(1.95, 2.52, 2.32)","(101.0, 99999, 295.0)","(101.0, 99999, 893.6363636363636)","(81.0, 290.0, 70.0)","(8.5, 16.0, 11.5)"
08-01-2023 13:12:37.296980,"(4.4, 6.2, 4.315384615384615)","(21.0, 40.0, 32.0)","(71.0, 210.0, 166.66666666666669)","(6.5, 12.0, 11.0)","(13.0, 21.0, 18.0)","(1.95, 2.5, 1.9900000000000002)","(101.0, 970.0, 776.1538461538462)","(101.0, 970.0, 893.6363636363636)","(81.0, 90.0, 70.0)","(8.5, 16.0, 12.5)"
08-01-2023 13:12:38.652529,"(4.4, 5.2, 4.123076923076923)","(21.0, 40.0, 32.0)","(71.0, 200.0, 166.66666666666669)","(6.5, 11.5, 11.0)","(13.0, 21.0, 14.4375)","(1.95, 2.14, 1.9694117647058824)","(101.0, 970.0, 884.5454545454545)","(101.0, 970.0, 905.3333333333333)","(81.0, 90.0, 63.333333333333336)","(8.5, 15.0, 12.5)"
08-01-2023 13:12:40.026499,"(4.4, 5.2, 4.15)","(21.0, 40.0, 32.0)","(71.0, 200.0, 140.0)","(6.5, 11.5, 10.88888888888889)","(13.0, 16.0, 13.333333333333334)","(1.95, 2.14, 2.3422727272727273)","(101.0, 960.0, 875.4545454545455)","(101.0, 960.0, 908.75)","(81.0, 90.0, 67.5)","(8.5, 15.0, 13.333333333333334)"
08-01-2023 13:12:41.388910,"(4.4, 5.2, 4.15)","(21.0, 40.0, 32.0)","(71.0, 200.0, 153.33333333333334)","(6.5, 11.5, 10.433333333333334)","(13.0, 13.5, 14.153846153846153)","(1.95, 2.52, 2.2878228782287824)","(101.0, 950.0, 884.5454545454545)","(101.0, 960.0, 9382.8125)","(81.0, 85.0, 70.0)","(8.5, 15.0, 12.75)"
08-01-2023 13:12:42.718141,"(4.4, 7.4, 7.256081081081081)","(21.0, 40.0, 32.0)","(71.0, 180.0, 153.33333333333334)","(6.5, 11.0, 9.918181818181818)","(13.0, 16.0, 12.2)","(1.95, 2.52, 2.285223880597015)","(101.0, 960.0, 866.3636363636364)","(101.0, 99999, 899.375)","(81.0, 85.0, 70.0)","(8.5, 15.0, 12.75)"
08-01-2023 13:12:44.056740,"(4.4, 7.4, 7.078571428571429)","(21.0, 40.0, 32.0)","(71.0, 180.0, 120.0)","(6.5, 11.0, 9.64)","(13.0, 15.5, 9.428571428571429)","(1.95, 2.52, 2.3873053892215568)","(101.0, 940.0, 848.1818181818181)","(101.0, 950.0, 890.0)","(81.0, 85.0, 60.333333333333336)","(8.5, 15.0, 13.333333333333334)"
08-01-2023 13:12:45.747254,"(4.4, 7.4, 5.800000000000001)","(21.0, 40.0, 29.333333333333332)","(71.0, 180.0, 115.0)","(6.5, 11.0, 9.64)","(13.0, 10.0, 9.4375)","(1.95, 2.44, 2.174653465346535)","(101.0, 920.0, 857.2727272727274)","(101.0, 940.0, 886.6666666666667)","(81.0, 85.0, 58.666666666666664)","(8.5, 15.0, 13.333333333333334)"
