,Cheval De Vaga,Pyms Royale,Time Scale,Cash Away,Hint Of Mint,Magniforce,Tadweer,Goddess Of Giving,My Dilemma
07-01-2023 16:46:19.790786,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.218181818181819)","(10.0, 18.0, 15.6)","(31.0, 100.0, 68.5)","(26.0, 40.0, 36.92307692307692)","(3.6, 4.5, 4.26)","(4.6, 4.9, 4.5)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:21.078994,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.9, 5.4, 5.218181818181819)","(10.0, 18.0, 15.6)","(31.0, 95.0, 93.0)","(26.0, 40.0, 36.92307692307692)","(3.6, 4.5, 4.26)","(4.4, 4.9, 4.5)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:22.290602,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.9, 5.4, 5.218181818181819)","(10.0, 18.0, 16.96153846153846)","(31.0, 110.0, 76.0)","(26.0, 40.0, 36.92307692307692)","(3.6, 4.5, 4.26)","(4.4, 4.9, 4.8130434782608695)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:23.543297,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.9, 5.4, 5.218181818181819)","(10.0, 18.0, 16.96153846153846)","(31.0, 110.0, 76.8)","(26.0, 40.0, 36.92307692307692)","(3.6, 4.5, 4.26)","(4.4, 4.9, 4.8130434782608695)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:24.888898,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.9, 5.4, 5.218181818181819)","(10.0, 18.0, 16.96153846153846)","(31.0, 100.0, 76.8)","(26.0, 40.0, 36.92307692307692)","(3.6, 4.5, 4.26)","(4.4, 4.9, 4.817808219178082)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:26.258202,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.9, 5.4, 5.218181818181819)","(10.0, 18.0, 16.96153846153846)","(31.0, 100.0, 68.5)","(26.0, 40.0, 36.92307692307692)","(3.6, 4.5, 4.26)","(4.4, 4.9, 4.817808219178082)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:27.563661,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.9, 5.4, 5.218181818181819)","(10.0, 18.0, 16.96153846153846)","(31.0, 95.0, 93.0)","(26.0, 40.0, 36.92307692307692)","(3.6, 4.5, 4.26)","(4.4, 4.9, 4.817808219178082)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:28.830110,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.9, 5.4, 5.218181818181819)","(10.0, 18.0, 16.96153846153846)","(31.0, 110.0, 76.0)","(26.0, 40.0, 36.92307692307692)","(3.6, 4.5, 4.26)","(4.4, 4.9, 4.817808219178082)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:30.222870,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.9, 5.4, 5.218181818181819)","(10.0, 18.0, 16.96153846153846)","(31.0, 110.0, 76.8)","(26.0, 40.0, 36.92307692307692)","(3.6, 4.5, 4.26)","(4.4, 4.9, 4.817808219178082)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:31.714635,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.9, 5.4, 5.218181818181819)","(10.0, 18.0, 16.3125)","(31.0, 100.0, 76.8)","(26.0, 40.0, 36.92307692307692)","(3.6, 4.5, 4.26)","(4.4, 4.9, 4.817808219178082)","(13.0, 18.5, 16.3125)"
