,Zulu Zephyr,Royal Carmilla,Paua Of Abby,Tarawi Lock Star,Zorros Sword
12-01-2023 18:37:37.787746,"(1.65, 2.18, 2.0726666666666667)","(21.0, 80.0, 70.16666666666667)","(4.0, 5.8, 5.35)","(21.0, 90.0, 72.4)","(3.4, 4.5, 3.814285714285714)"
12-01-2023 18:37:38.714961,"(1.65, 2.16, 2.01)","(21.0, 80.0, 51.0)","(4.0, 5.8, 4.733333333333333)","(21.0, 85.0, 72.4)","(3.4, 4.6, 3.814285714285714)"
12-01-2023 18:37:39.721720,"(1.65, 2.2, 2.02)","(21.0, 80.0, 51.0)","(4.0, 5.8, 4.733333333333333)","(21.0, 85.0, 72.4)","(3.4, 4.6, 3.776470588235294)"
12-01-2023 18:37:40.728332,"(1.65, 2.18, 1.9864)","(21.0, 80.0, 51.0)","(4.0, 5.8, 4.733333333333333)","(21.0, 85.0, 72.4)","(3.4, 4.6, 4.0777777777777775)"
12-01-2023 18:37:41.705364,"(1.65, 2.16, 2.01)","(21.0, 80.0, 51.0)","(4.0, 5.8, 4.733333333333333)","(21.0, 85.0, 72.4)","(3.4, 4.5, 4.0777777777777775)"
12-01-2023 18:37:42.774221,"(1.65, 2.14, 1.9825)","(21.0, 80.0, 51.0)","(4.0, 5.8, 4.666666666666667)","(21.0, 85.0, 72.4)","(3.4, 4.5, 4.0777777777777775)"
12-01-2023 18:37:43.713856,"(1.65, 2.14, 1.9825)","(21.0, 80.0, 51.0)","(4.0, 5.6, 4.85)","(21.0, 85.0, 72.4)","(3.4, 4.5, 4.0777777777777775)"
12-01-2023 18:37:44.690422,"(1.65, 2.14, 1.9825)","(21.0, 80.0, 51.0)","(4.0, 5.5, 4.85)","(21.0, 85.0, 72.4)","(3.4, 4.5, 4.0777777777777775)"
12-01-2023 18:37:45.749129,"(1.65, 2.14, 1.9825)","(21.0, 80.0, 51.0)","(4.0, 5.5, 4.85)","(21.0, 85.0, 72.4)","(3.4, 4.5, 3.68)"
12-01-2023 18:37:46.819176,"(1.65, 2.14, 1.9825)","(21.0, 80.0, 51.0)","(4.0, 5.5, 4.85)","(21.0, 85.0, 72.4)","(3.4, 4.6, 5.26)"
12-01-2023 18:37:47.841594,"(1.65, 2.14, 1.9825)","(21.0, 80.0, 51.0)","(4.0, 5.5, 4.85)","(21.0, 85.0, 72.4)","(3.4, 6.4, 4.771428571428571)"
12-01-2023 18:37:48.900219,"(1.65, 2.14, 1.9792857142857143)","(21.0, 80.0, 51.0)","(4.0, 5.5, 4.85)","(21.0, 85.0, 72.4)","(3.4, 6.4, 4.218181818181818)"
12-01-2023 18:37:49.939030,"(1.65, 2.1, 1.9768)","(21.0, 80.0, 51.0)","(4.0, 5.5, 4.85)","(21.0, 85.0, 72.4)","(3.4, 6.0, 4.218181818181818)"
12-01-2023 18:37:50.982765,"(1.65, 2.1, 1.9768)","(21.0, 80.0, 51.0)","(4.0, 5.5, 4.85)","(21.0, 85.0, 72.4)","(3.4, 6.0, 4.218181818181818)"
12-01-2023 18:37:52.002817,"(1.65, 2.1, 1.9768)","(21.0, 80.0, 51.0)","(4.0, 5.5, 4.85)","(21.0, 85.0, 72.4)","(3.4, 6.0, 4.492307692307692)"
12-01-2023 18:37:53.074782,"(1.65, 2.1, 1.9768)","(21.0, 80.0, 65.5)","(4.0, 5.5, 4.85)","(21.0, 85.0, 49.2)","(3.4, 6.0, 4.0777777777777775)"
12-01-2023 18:37:54.125141,"(1.65, 2.1, 1.9768)","(21.0, 80.0, 65.5)","(4.0, 5.5, 4.85)","(21.0, 90.0, 47.77777777777778)","(3.4, 4.5, 4.14375)"
12-01-2023 18:37:55.186378,"(1.65, 2.1, 1.9768)","(21.0, 80.0, 65.5)","(4.0, 5.5, 4.85)","(21.0, 80.0, 55.142857142857146)","(3.4, 4.5, 4.14375)"
12-01-2023 18:37:56.198308,"(1.65, 2.1, 2.072982456140351)","(21.0, 80.0, 65.5)","(4.0, 5.5, 4.85)","(21.0, 80.0, 47.77777777777778)","(3.4, 4.5, 4.14375)"
12-01-2023 18:37:57.240111,"(1.65, 2.1, 2.0700854700854703)","(21.0, 80.0, 65.75)","(4.0, 5.4, 4.333333333333334)","(21.0, 80.0, 47.77777777777778)","(3.4, 4.5, 4.14375)"
12-01-2023 18:37:58.322622,"(1.65, 2.1, 2.0700854700854703)","(21.0, 80.0, 65.75)","(4.0, 5.3, 4.75)","(21.0, 80.0, 47.77777777777778)","(3.4, 4.5, 4.14375)"
12-01-2023 18:37:59.435439,"(1.65, 2.1, 2.0700854700854703)","(21.0, 80.0, 65.75)","(4.0, 5.3, 4.75)","(21.0, 80.0, 47.77777777777778)","(3.4, 4.5, 4.14375)"
12-01-2023 18:38:00.462497,"(1.65, 2.1, 2.0700854700854703)","(21.0, 80.0, 65.75)","(4.0, 5.3, 4.75)","(21.0, 80.0, 47.77777777777778)","(3.4, 4.5, 4.025)"
12-01-2023 18:38:01.623427,"(1.65, 2.1, 2.0700854700854703)","(21.0, 80.0, 65.75)","(4.0, 5.3, 4.75)","(21.0, 80.0, 54.0)","(3.4, 4.5, 3.7800000000000002)"
12-01-2023 18:38:02.907567,"(1.65, 2.1, 2.0700854700854703)","(21.0, 80.0, 68.6)","(4.0, 5.3, 4.75)","(21.0, 85.0, 54.0)","(3.4, 4.5, 3.7333333333333334)"
12-01-2023 18:38:04.035831,"(1.65, 2.1, 2.0700854700854703)","(21.0, 80.0, 68.6)","(4.0, 5.3, 4.75)","(21.0, 85.0, 54.0)","(3.4, 4.4, 3.7333333333333334)"
12-01-2023 18:38:05.294861,"(1.65, 2.1, 2.0700854700854703)","(21.0, 80.0, 68.6)","(4.0, 5.3, 4.75)","(21.0, 85.0, 54.0)","(3.4, 4.4, 3.7333333333333334)"
12-01-2023 18:38:06.356801,"(1.65, 2.1, 2.0738983050847457)","(21.0, 80.0, 68.6)","(4.0, 5.3, 4.75)","(21.0, 85.0, 54.0)","(3.4, 4.4, 3.7333333333333334)"
12-01-2023 18:38:07.515475,"(1.65, 2.1, 2.0738983050847457)","(21.0, 80.0, 68.6)","(4.0, 5.3, 4.75)","(21.0, 85.0, 54.0)","(3.4, 4.4, 3.7333333333333334)"
12-01-2023 18:38:08.634089,"(1.65, 2.1, 2.0738983050847457)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.191666666666666)","(21.0, 85.0, 54.0)","(3.4, 4.4, 3.7333333333333334)"
12-01-2023 18:38:09.754818,"(1.65, 2.18, 2.1391150442477875)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.191666666666666)","(21.0, 85.0, 54.0)","(3.4, 4.4, 3.7333333333333334)"
12-01-2023 18:38:11.007435,"(1.65, 2.18, 2.037741935483871)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.191666666666666)","(21.0, 85.0, 54.0)","(3.4, 4.4, 3.7333333333333334)"
12-01-2023 18:38:12.076982,"(1.65, 2.18, 2.035625)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.191666666666666)","(21.0, 85.0, 54.0)","(3.4, 4.4, 3.74)"
12-01-2023 18:38:13.234619,"(1.65, 2.18, 2.035625)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.21875)","(21.0, 85.0, 54.0)","(3.4, 4.3, 3.74)"
12-01-2023 18:38:14.273351,"(1.65, 2.16, 2.105714285714286)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.21875)","(21.0, 85.0, 54.0)","(3.4, 4.3, 3.74)"
12-01-2023 18:38:15.463034,"(1.65, 2.14, 2.0380000000000003)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.21875)","(21.0, 85.0, 54.0)","(3.4, 4.3, 3.74)"
12-01-2023 18:38:16.527063,"(1.65, 2.14, 2.0380000000000003)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.21875)","(21.0, 85.0, 33.285714285714285)","(3.4, 4.3, 3.74)"
12-01-2023 18:38:17.745752,"(1.65, 2.14, 2.031025641025641)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.21875)","(21.0, 95.0, 33.285714285714285)","(3.4, 4.3, 3.74)"
12-01-2023 18:38:18.733754,"(1.65, 2.14, 2.031025641025641)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.21875)","(21.0, 95.0, 33.285714285714285)","(3.4, 4.3, 3.74)"
12-01-2023 18:38:19.730409,"(1.65, 2.14, 2.031025641025641)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.21875)","(21.0, 95.0, 33.285714285714285)","(3.4, 4.3, 3.74)"
12-01-2023 18:38:20.751063,"(1.65, 2.14, 2.031025641025641)","(21.0, 80.0, 52.0)","(4.0, 5.3, 5.21875)","(21.0, 95.0, 33.285714285714285)","(3.4, 4.3, 4.366666666666667)"
12-01-2023 18:38:21.759150,"(1.65, 2.14, 2.031025641025641)","(21.0, 80.0, 52.0)","(4.0, 5.3, 5.21875)","(21.0, 95.0, 29.545454545454547)","(3.4, 5.9, 3.72)"
12-01-2023 18:38:22.794308,"(1.65, 2.14, 1.9765384615384616)","(21.0, 80.0, 52.0)","(4.0, 5.3, 5.223529411764706)","(21.0, 95.0, 29.545454545454547)","(3.4, 4.2, 3.72)"
12-01-2023 18:38:23.862578,"(1.65, 2.12, 1.9866666666666666)","(21.0, 80.0, 52.0)","(4.0, 5.3, 5.234999999999999)","(21.0, 95.0, 33.285714285714285)","(3.4, 4.2, 3.72)"
12-01-2023 18:38:24.856709,"(1.65, 2.18, 2.008888888888889)","(21.0, 80.0, 52.0)","(4.0, 5.3, 5.234999999999999)","(21.0, 95.0, 33.285714285714285)","(3.4, 4.2, 3.72)"
12-01-2023 18:38:25.833040,"(1.65, 2.18, 2.0473684210526315)","(21.0, 80.0, 52.0)","(4.0, 5.3, 5.234999999999999)","(21.0, 95.0, 33.285714285714285)","(3.4, 4.2, 4.08)"
12-01-2023 18:38:26.710915,"(1.65, 2.18, 2.031764705882353)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.234999999999999)","(21.0, 95.0, 33.285714285714285)","(3.4, 4.2, 4.08)"
12-01-2023 18:38:27.692687,"(1.65, 2.18, 2.031764705882353)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.234999999999999)","(21.0, 95.0, 33.285714285714285)","(3.4, 4.2, 4.08)"
12-01-2023 18:38:28.698944,"(1.65, 2.18, 2.031764705882353)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.234999999999999)","(21.0, 95.0, 33.285714285714285)","(3.4, 4.2, 4.08)"
12-01-2023 18:38:29.725219,"(1.65, 2.18, 2.031764705882353)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.234999999999999)","(21.0, 95.0, 33.285714285714285)","(3.4, 4.2, 4.08)"
12-01-2023 18:38:30.812789,"(1.65, 2.18, 2.031764705882353)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.223529411764706)","(21.0, 95.0, 29.545454545454547)","(3.4, 4.2, 5.345454545454546)"
12-01-2023 18:38:31.748188,"(1.65, 2.18, 1.9784)","(21.0, 80.0, 68.6)","(4.0, 5.3, 5.223529411764706)","(21.0, 95.0, 31.857142857142858)","(3.4, 6.0, 5.525)"
12-01-2023 18:38:32.660364,"(1.65, 2.18, 1.9784)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 85.0, 43.0)","(3.4, 5.8, 4.888)"
12-01-2023 18:38:33.677896,"(1.65, 2.18, 1.9784)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 85.0, 36.53846153846153)","(3.4, 5.9, 5.411764705882353)"
12-01-2023 18:38:34.636734,"(1.65, 2.18, 1.9784)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 85.0, 40.9)","(3.4, 5.8, 5.35)"
12-01-2023 18:38:35.630769,"(1.65, 2.18, 1.9784)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 85.0, 40.9)","(3.4, 5.6, 4.9363636363636365)"
12-01-2023 18:38:36.548670,"(1.65, 2.18, 1.9784)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 85.0, 40.9)","(3.4, 5.7, 4.776)"
12-01-2023 18:38:37.425537,"(1.65, 2.18, 1.9784)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 85.0, 40.9)","(3.4, 5.7, 5.345652173913043)"
12-01-2023 18:38:38.290298,"(1.65, 2.18, 1.9784)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 85.0, 40.9)","(3.4, 5.6, 4.9714285714285715)"
12-01-2023 18:38:39.138106,"(1.65, 2.18, 1.9784)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 85.0, 40.9)","(3.4, 5.5, 4.9714285714285715)"
12-01-2023 18:38:40.172600,"(1.65, 2.16, 2.1472)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 85.0, 40.9)","(3.4, 5.5, 4.9714285714285715)"
12-01-2023 18:38:41.107397,"(1.65, 2.14, 2.112608695652174)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 85.0, 40.9)","(3.4, 5.5, 4.80625)"
12-01-2023 18:38:41.906472,"(1.65, 2.14, 2.112608695652174)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 85.0, 40.9)","(3.4, 5.5, 4.80625)"
12-01-2023 18:38:42.729429,"(1.65, 2.14, 2.112608695652174)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 85.0, 40.9)","(3.4, 5.5, 4.80625)"
12-01-2023 18:38:43.613333,"(1.65, 2.14, 2.1083098591549296)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 90.0, 56.0)","(3.4, 5.5, 4.80625)"
12-01-2023 18:38:44.518674,"(1.65, 2.14, 2.1083098591549296)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 90.0, 56.0)","(3.4, 5.5, 4.80625)"
12-01-2023 18:38:45.368353,"(1.65, 2.14, 2.1083098591549296)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 90.0, 56.0)","(3.4, 5.5, 4.80625)"
12-01-2023 18:38:46.221375,"(1.65, 2.14, 2.1083098591549296)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 90.0, 56.0)","(3.4, 5.5, 4.80625)"
12-01-2023 18:38:47.099892,"(1.65, 2.14, 2.1083098591549296)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 90.0, 56.0)","(3.4, 5.5, 4.80625)"
12-01-2023 18:38:47.993684,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 65.75)","(4.0, 5.3, 5.191666666666666)","(21.0, 90.0, 56.0)","(3.4, 5.5, 4.80625)"
12-01-2023 18:38:48.823120,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 65.75)","(4.0, 5.4, 5.1000000000000005)","(21.0, 90.0, 56.0)","(3.4, 5.5, 4.80625)"
12-01-2023 18:38:49.700872,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 65.75)","(4.0, 6.0, 5.833333333333333)","(21.0, 90.0, 56.0)","(3.4, 6.6, 5.288888888888889)"
12-01-2023 18:38:50.480121,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 65.75)","(4.0, 6.0, 5.0)","(21.0, 90.0, 56.0)","(3.4, 6.4, 5.687037037037038)"
12-01-2023 18:38:51.367241,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 65.75)","(4.0, 5.8, 5.32)","(21.0, 90.0, 56.0)","(3.4, 6.4, 3.9909090909090907)"
12-01-2023 18:38:52.396324,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 65.75)","(4.0, 5.8, 5.3)","(21.0, 90.0, 56.0)","(3.4, 6.4, 5.005263157894737)"
12-01-2023 18:38:53.353848,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 65.75)","(4.0, 5.6, 5.3)","(21.0, 90.0, 56.0)","(3.4, 6.4, 5.1380952380952385)"
12-01-2023 18:38:54.182196,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 71.85714285714286)","(4.0, 5.6, 4.7749999999999995)","(21.0, 90.0, 71.72727272727272)","(3.4, 6.4, 5.1380952380952385)"
12-01-2023 18:38:54.975313,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 71.85714285714286)","(4.0, 5.4, 5.176923076923077)","(21.0, 90.0, 71.72727272727272)","(3.4, 6.4, 5.1380952380952385)"
12-01-2023 18:38:55.812339,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 71.85714285714286)","(4.0, 5.3, 4.682857142857143)","(21.0, 90.0, 67.66666666666667)","(3.4, 6.4, 5.1380952380952385)"
12-01-2023 18:38:56.792102,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 71.85714285714286)","(4.0, 5.1, 5.0424999999999995)","(21.0, 90.0, 67.66666666666667)","(3.4, 6.4, 5.596969696969698)"
12-01-2023 18:38:57.795133,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 61.0)","(4.0, 5.1, 5.0424999999999995)","(21.0, 90.0, 68.33333333333334)","(3.4, 6.4, 5.031578947368422)"
12-01-2023 18:38:58.585737,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 44.375)","(4.0, 5.1, 5.0424999999999995)","(21.0, 90.0, 68.33333333333334)","(3.4, 6.4, 5.031578947368422)"
12-01-2023 18:38:59.408985,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 47.42857142857143)","(4.0, 5.1, 5.0424999999999995)","(21.0, 90.0, 68.33333333333334)","(3.4, 6.4, 4.438461538461539)"
12-01-2023 18:39:00.273367,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 47.42857142857143)","(4.0, 5.1, 5.0424999999999995)","(21.0, 90.0, 68.33333333333334)","(3.4, 6.4, 4.438461538461539)"
12-01-2023 18:39:01.190828,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 47.42857142857143)","(4.0, 5.1, 5.0424999999999995)","(21.0, 90.0, 60.45454545454545)","(3.4, 6.4, 4.464285714285714)"
12-01-2023 18:39:02.112821,"(1.65, 1.96, 1.9515873015873015)","(21.0, 75.0, 62.25)","(4.0, 5.0, 4.50125)","(21.0, 90.0, 65.0)","(3.4, 6.0, 4.082608695652174)"
12-01-2023 18:39:03.030064,"(1.65, 1.96, 1.9515873015873015)","(21.0, 75.0, 62.5)","(4.0, 4.8, 4.741666666666666)","(21.0, 90.0, 65.0)","(3.4, 6.0, 5.627272727272727)"
12-01-2023 18:39:03.852501,"(1.65, 1.96, 1.9515873015873015)","(21.0, 80.0, 52.5)","(4.0, 4.8, 4.5)","(21.0, 90.0, 61.36363636363637)","(3.4, 5.8, 5.627272727272727)"
12-01-2023 18:39:04.711752,"(1.65, 1.96, 1.9521505376344086)","(21.0, 80.0, 52.5)","(4.0, 4.8, 4.5)","(21.0, 90.0, 38.333333333333336)","(3.4, 5.6, 5.263636363636364)"
12-01-2023 18:39:05.515589,"(1.65, 1.96, 1.9521505376344086)","(21.0, 80.0, 52.5)","(4.0, 4.8, 4.5)","(21.0, 90.0, 38.333333333333336)","(3.4, 5.4, 5.263636363636364)"
12-01-2023 18:39:06.412429,"(1.65, 1.96, 1.9521505376344086)","(21.0, 80.0, 70.83333333333333)","(4.0, 4.8, 4.5)","(21.0, 90.0, 38.333333333333336)","(3.4, 5.2, 4.344444444444444)"
12-01-2023 18:39:07.293082,"(1.65, 1.96, 1.9521505376344086)","(21.0, 80.0, 70.83333333333333)","(4.0, 4.8, 4.5)","(21.0, 90.0, 38.333333333333336)","(3.4, 5.1, 4.426315789473684)"
12-01-2023 18:39:08.078798,"(1.65, 1.96, 1.9521505376344086)","(21.0, 80.0, 70.83333333333333)","(4.0, 4.8, 4.5)","(21.0, 90.0, 38.333333333333336)","(3.4, 4.9, 4.426315789473684)"
12-01-2023 18:39:08.985203,"(1.65, 1.96, 1.9521505376344086)","(21.0, 80.0, 70.83333333333333)","(4.0, 4.8, 4.545454545454545)","(21.0, 90.0, 38.333333333333336)","(3.4, 4.8, 4.595454545454546)"
12-01-2023 18:39:09.951945,"(1.65, 1.96, 1.9521505376344086)","(21.0, 80.0, 66.5)","(4.0, 4.8, 4.545454545454545)","(21.0, 90.0, 38.333333333333336)","(3.4, 4.8, 4.595454545454546)"
12-01-2023 18:39:10.843628,"(1.65, 1.96, 1.9521505376344086)","(21.0, 80.0, 66.5)","(4.0, 4.8, 4.545454545454545)","(21.0, 90.0, 38.333333333333336)","(3.4, 4.8, 4.449999999999999)"
12-01-2023 18:39:11.751322,"(1.65, 1.96, 1.9525510204081633)","(21.0, 80.0, 66.5)","(4.0, 4.8, 4.545454545454545)","(21.0, 90.0, 38.333333333333336)","(3.4, 4.8, 4.449999999999999)"
12-01-2023 18:39:12.533405,"(1.65, 1.96, 1.9525510204081633)","(21.0, 80.0, 53.0)","(4.0, 4.8, 4.545454545454545)","(21.0, 90.0, 38.333333333333336)","(3.4, 4.8, 4.55)"
12-01-2023 18:39:13.416979,"(1.65, 1.96, 1.9525510204081633)","(21.0, 80.0, 53.0)","(4.0, 4.8, 4.545454545454545)","(21.0, 90.0, 38.333333333333336)","(3.4, 4.8, 4.55)"
12-01-2023 18:39:14.415029,"(1.65, 1.96, 1.9525510204081633)","(21.0, 80.0, 71.0)","(4.0, 4.8, 4.545454545454545)","(21.0, 80.0, 54.0)","(3.4, 4.8, 4.55)"
12-01-2023 18:39:15.402344,"(1.65, 1.96, 1.9525510204081633)","(21.0, 80.0, 71.0)","(4.0, 4.8, 4.545454545454545)","(21.0, 80.0, 54.0)","(3.4, 4.8, 4.55)"
12-01-2023 18:39:16.303627,"(1.65, 1.96, 1.9525510204081633)","(21.0, 80.0, 71.0)","(4.0, 4.8, 4.545454545454545)","(21.0, 80.0, 54.0)","(3.4, 4.8, 4.55)"
12-01-2023 18:39:17.181760,"(1.65, 1.96, 1.9525510204081633)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.545454545454545)","(21.0, 80.0, 50.85714285714286)","(3.4, 4.8, 4.55)"
12-01-2023 18:39:18.029544,"(1.65, 1.96, 1.9525510204081633)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.545454545454545)","(21.0, 80.0, 40.0)","(3.4, 4.8, 4.55)"
12-01-2023 18:39:18.963785,"(1.65, 1.96, 1.9522727272727272)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.545454545454545)","(21.0, 80.0, 40.0)","(3.4, 4.8, 4.4111111111111105)"
12-01-2023 18:39:19.918820,"(1.65, 1.96, 1.9522727272727272)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.545454545454545)","(21.0, 80.0, 40.0)","(3.4, 4.8, 4.4111111111111105)"
12-01-2023 18:39:20.831381,"(1.65, 1.96, 1.9522727272727272)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.545454545454545)","(21.0, 80.0, 40.0)","(3.4, 4.8, 4.4111111111111105)"
12-01-2023 18:39:21.695056,"(1.65, 1.96, 1.952)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.545454545454545)","(21.0, 80.0, 40.0)","(3.4, 4.8, 4.4111111111111105)"
12-01-2023 18:39:22.589795,"(1.65, 1.96, 1.952)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.545454545454545)","(21.0, 80.0, 40.0)","(3.4, 4.8, 4.4111111111111105)"
12-01-2023 18:39:23.497060,"(1.65, 1.96, 1.952)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.545454545454545)","(21.0, 80.0, 40.0)","(3.4, 4.8, 4.4111111111111105)"
12-01-2023 18:39:24.388737,"(1.65, 1.96, 1.9520289855072464)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.545454545454545)","(21.0, 80.0, 40.0)","(3.4, 4.8, 4.4111111111111105)"
12-01-2023 18:39:25.205251,"(1.65, 1.96, 1.9516666666666667)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.32)","(21.0, 80.0, 40.0)","(3.4, 4.8, 4.4111111111111105)"
12-01-2023 18:39:26.111592,"(1.65, 1.96, 1.9516666666666667)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.338461538461538)","(21.0, 80.0, 40.0)","(3.4, 4.8, 4.4111111111111105)"
12-01-2023 18:39:27.087986,"(1.65, 1.96, 1.9512698412698413)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.338461538461538)","(21.0, 80.0, 40.0)","(3.4, 4.8, 4.4111111111111105)"
12-01-2023 18:39:28.021746,"(1.65, 1.96, 1.9512698412698413)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.338461538461538)","(21.0, 80.0, 40.0)","(3.4, 4.8, 4.4111111111111105)"
12-01-2023 18:39:29.025856,"(1.65, 1.96, 1.9512698412698413)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.338461538461538)","(21.0, 80.0, 40.0)","(3.4, 4.8, 4.4111111111111105)"
12-01-2023 18:39:29.861972,"(1.65, 1.96, 1.9512698412698413)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.338461538461538)","(21.0, 80.0, 40.0)","(3.4, 4.8, 4.4111111111111105)"
12-01-2023 18:39:30.707276,"(1.65, 1.96, 1.9512698412698413)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.338461538461538)","(21.0, 80.0, 40.0)","(3.4, 4.8, 4.25)"
12-01-2023 18:39:31.716930,"(1.65, 1.96, 1.9183333333333334)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.338461538461538)","(21.0, 80.0, 40.0)","(3.4, 4.7, 4.25)"
12-01-2023 18:39:32.691617,"(1.65, 1.96, 1.8618867924528302)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.4)","(21.0, 80.0, 38.333333333333336)","(3.4, 4.7, 4.25)"
12-01-2023 18:39:33.587654,"(1.65, 1.94, 1.9105263157894736)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.4)","(21.0, 80.0, 38.333333333333336)","(3.4, 4.7, 4.25)"
12-01-2023 18:39:34.439655,"(1.65, 1.94, 1.9028787878787878)","(21.0, 80.0, 53.5)","(4.0, 4.8, 4.4)","(21.0, 80.0, 38.333333333333336)","(3.4, 4.7, 4.25)"
12-01-2023 18:39:35.287167,"(1.65, 1.94, 1.884736842105263)","(21.0, 75.0, 43.0)","(4.0, 4.8, 4.4)","(21.0, 80.0, 38.333333333333336)","(3.4, 4.7, 4.25)"
12-01-2023 18:39:36.238786,"(1.65, 1.94, 1.9226923076923077)","(21.0, 75.0, 36.6)","(4.0, 4.8, 4.4)","(21.0, 80.0, 38.333333333333336)","(3.4, 4.7, 4.25)"
12-01-2023 18:39:37.229876,"(1.65, 1.94, 1.9269565217391305)","(21.0, 75.0, 36.6)","(4.0, 4.8, 4.4)","(21.0, 80.0, 38.333333333333336)","(3.4, 4.7, 4.25)"
12-01-2023 18:39:38.122501,"(1.65, 1.94, 1.9216326530612244)","(21.0, 75.0, 36.6)","(4.0, 4.8, 4.4)","(21.0, 80.0, 38.333333333333336)","(3.4, 4.7, 4.25)"
12-01-2023 18:39:39.018776,"(1.65, 1.94, 1.9185714285714286)","(21.0, 75.0, 36.6)","(4.0, 4.8, 4.4)","(21.0, 80.0, 38.333333333333336)","(3.4, 4.7, 4.25)"
