,Charming Lass,Marben Val,Always A Show,Aussie Chevy,Subzero Ash,She Flys,Summer Lilly,Indian Wells
11-01-2023 13:10:49.165054,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.442)","(5.5, 7.2, 6.052941176470588)","(4.6, 7.6, 6.3999999999999995)","(9.0, 17.0, 16.75)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:50.160565,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.325)","(5.5, 7.2, 6.569696969696969)","(4.6, 7.6, 6.872727272727272)","(9.0, 19.5, 15.833333333333334)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:51.141624,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.325)","(5.5, 7.2, 6.569696969696969)","(4.6, 7.6, 6.872727272727272)","(9.0, 19.5, 15.833333333333334)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:52.133722,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.283333333333333)","(5.5, 7.2, 6.569696969696969)","(4.6, 7.6, 6.872727272727272)","(9.0, 19.5, 15.833333333333334)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:53.113709,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.1270114942528737)","(5.5, 7.2, 6.569696969696969)","(4.6, 7.6, 6.872727272727272)","(9.0, 19.5, 15.833333333333334)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:54.096040,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.1270114942528737)","(5.5, 7.2, 6.569696969696969)","(4.6, 7.6, 6.872727272727272)","(9.0, 19.5, 15.833333333333334)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:55.087658,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.1270114942528737)","(5.5, 7.2, 6.569696969696969)","(4.6, 7.6, 6.872727272727272)","(9.0, 20.0, 16.0)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:56.032452,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.1270114942528737)","(5.5, 7.2, 6.052941176470588)","(4.6, 7.6, 6.872727272727272)","(9.0, 20.0, 16.0)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:57.023556,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.1270114942528737)","(5.5, 7.2, 6.052941176470588)","(4.6, 7.6, 6.872727272727272)","(9.0, 20.0, 16.0)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:57.983170,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.1270114942528737)","(5.5, 7.2, 6.052941176470588)","(4.6, 7.6, 6.77391304347826)","(9.0, 20.0, 16.0)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:58.954766,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.1270114942528737)","(5.5, 7.2, 6.052941176470588)","(4.6, 7.6, 6.77391304347826)","(9.0, 20.0, 16.0)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:59.906747,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.1270114942528737)","(5.5, 7.2, 6.569696969696969)","(4.6, 7.6, 6.77391304347826)","(9.0, 20.0, 16.0)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:00.901191,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.1270114942528737)","(5.5, 7.2, 6.569696969696969)","(4.6, 7.6, 6.77391304347826)","(9.0, 20.0, 16.0)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:01.903362,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.1270114942528737)","(5.5, 7.2, 6.569696969696969)","(4.6, 7.6, 6.77391304347826)","(9.0, 20.0, 16.0)","(20.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:02.867764,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.1329545454545453)","(5.5, 7.2, 6.052941176470588)","(4.6, 7.6, 6.77391304347826)","(9.0, 20.0, 16.0)","(20.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:03.837741,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.1329545454545453)","(5.5, 7.2, 6.052941176470588)","(4.6, 7.6, 6.77391304347826)","(9.0, 20.0, 16.0)","(20.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:04.869320,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.142682926829268)","(5.5, 7.2, 6.052941176470588)","(4.6, 7.6, 6.77391304347826)","(9.0, 20.0, 16.0)","(20.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
