,Allinga Blues,Rhonda Wine,Festival Dancer,Gable,Centennial,Paramount Rose
16-12-2022 11:05:56.400715,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:57.425552,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:58.439120,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:59.458792,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:00.488565,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:01.536842,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:02.607532,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:03.558901,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:04.584895,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:05.623156,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:06.601952,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:07.596918,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:08.618309,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:09.645460,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:10.687141,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:11.612768,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 26.210526315789473)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:12.602695,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 26.184210526315788)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:13.591639,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 26.184210526315788)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:14.502875,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 26.184210526315788)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:15.485182,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 26.184210526315788)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:16.489464,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 26.184210526315788)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:17.560386,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 26.184210526315788)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:18.626118,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 26.184210526315788)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:19.708279,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 26.184210526315788)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:20.704898,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 26.184210526315788)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:21.733085,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 26.184210526315788)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:22.677354,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 26.184210526315788)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:23.623316,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 26.184210526315788)","(2.7, 4.6, 3.66)"
16-12-2022 11:06:24.551629,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 26.184210526315788)","(2.7, 4.6, 3.66)"
