,Hes Gold,Sir Mambo,Silkinize,On The Full,Pink N Gray,The Lady Is A Vamp,Titian Queen
07-01-2023 14:58:10.350323,"(4.8, 5.3, 5.089189189189189)","(14.0, 19.5, 19.3125)","(8.0, 15.0, 13.295454545454545)","(2.4, 2.76, 2.7525)","(21.0, 30.0, 28.8)","(3.8, 4.8, 4.65)","(19.0, 38.0, 29.272727272727273)"
07-01-2023 14:58:11.347210,"(4.8, 5.3, 5.031034482758621)","(14.0, 19.5, 19.227272727272727)","(8.0, 15.0, 13.295454545454545)","(2.4, 2.76, 2.7525)","(21.0, 30.0, 28.285714285714285)","(3.8, 4.8, 4.65)","(19.0, 38.0, 32.0)"
07-01-2023 14:58:12.429587,"(4.8, 5.2, 5.042857142857143)","(14.0, 19.5, 19.227272727272727)","(8.0, 14.5, 13.666666666666666)","(2.4, 2.76, 2.7525)","(21.0, 30.0, 28.285714285714285)","(3.8, 4.8, 4.65)","(19.0, 36.0, 32.0)"
07-01-2023 14:58:13.509667,"(4.8, 5.2, 5.042857142857143)","(14.0, 19.5, 19.227272727272727)","(8.0, 14.5, 13.666666666666666)","(2.4, 2.76, 2.7525)","(21.0, 30.0, 29.666666666666664)","(3.8, 4.8, 4.65)","(19.0, 36.0, 28.363636363636363)"
07-01-2023 14:58:14.773191,"(4.8, 5.2, 5.032432432432432)","(14.0, 19.5, 19.227272727272727)","(8.0, 14.5, 13.136363636363637)","(2.4, 2.76, 2.7449999999999997)","(21.0, 32.0, 29.666666666666664)","(3.8, 4.8, 4.65)","(19.0, 36.0, 30.57142857142857)"
07-01-2023 14:58:15.915953,"(4.8, 5.2, 5.032432432432432)","(14.0, 19.5, 19.227272727272727)","(8.0, 14.5, 13.136363636363637)","(2.4, 2.76, 2.7449999999999997)","(21.0, 32.0, 29.2)","(3.8, 4.8, 4.65)","(19.0, 34.0, 27.5)"
07-01-2023 14:58:17.049473,"(4.8, 5.2, 5.032432432432432)","(14.0, 19.5, 19.227272727272727)","(8.0, 14.5, 13.136363636363637)","(2.4, 2.76, 2.7449999999999997)","(21.0, 32.0, 29.2)","(3.8, 4.8, 4.65)","(19.0, 32.0, 27.5)"
07-01-2023 14:58:18.271273,"(4.8, 5.2, 5.032432432432432)","(14.0, 19.5, 19.227272727272727)","(8.0, 14.5, 13.136363636363637)","(2.4, 2.76, 2.7449999999999997)","(21.0, 32.0, 29.2)","(3.8, 4.8, 4.65)","(19.0, 32.0, 31.18181818181818)"
07-01-2023 14:58:19.455431,"(4.8, 5.2, 5.03)","(14.0, 19.5, 19.227272727272727)","(8.0, 14.5, 13.136363636363637)","(2.4, 2.76, 2.7449999999999997)","(21.0, 32.0, 29.2)","(3.8, 4.8, 4.65)","(19.0, 32.0, 28.625)"
07-01-2023 14:58:20.639102,"(4.8, 5.2, 5.03)","(14.0, 19.5, 19.227272727272727)","(8.0, 14.5, 13.136363636363637)","(2.4, 2.76, 2.7449999999999997)","(21.0, 32.0, 29.5)","(3.8, 4.8, 4.65)","(19.0, 32.0, 29.5)"
07-01-2023 14:58:21.731530,"(4.8, 5.2, 5.03)","(14.0, 19.5, 19.227272727272727)","(8.0, 14.5, 13.06)","(2.4, 2.76, 2.7449999999999997)","(21.0, 32.0, 30.47826086956522)","(3.8, 4.8, 4.65)","(19.0, 30.0, 28.57142857142857)"
07-01-2023 14:58:22.769829,"(4.8, 5.2, 5.03)","(14.0, 19.5, 19.227272727272727)","(8.0, 14.5, 13.0)","(2.4, 2.76, 2.7449999999999997)","(21.0, 32.0, 30.47826086956522)","(3.8, 4.8, 4.65)","(19.0, 29.0, 28.57142857142857)"
07-01-2023 14:58:23.847936,"(4.8, 5.2, 5.03)","(14.0, 19.5, 19.227272727272727)","(8.0, 14.5, 13.0)","(2.4, 2.76, 2.7449999999999997)","(21.0, 32.0, 30.47826086956522)","(3.8, 4.8, 4.65)","(19.0, 29.0, 28.57142857142857)"
07-01-2023 14:58:25.000864,"(4.8, 5.2, 5.03)","(14.0, 19.5, 19.227272727272727)","(8.0, 14.5, 13.0)","(2.4, 2.76, 2.7449999999999997)","(21.0, 32.0, 29.272727272727273)","(3.8, 4.8, 4.65)","(19.0, 29.0, 27.875)"
07-01-2023 14:58:26.087597,"(4.8, 5.2, 5.03)","(14.0, 19.5, 19.227272727272727)","(8.0, 14.5, 13.0)","(2.4, 2.76, 2.7449999999999997)","(21.0, 32.0, 29.272727272727273)","(3.8, 4.8, 4.65)","(19.0, 29.0, 27.875)"
07-01-2023 14:58:27.035002,"(4.8, 5.2, 5.03)","(14.0, 19.5, 19.227272727272727)","(8.0, 14.5, 13.0)","(2.4, 2.76, 2.7449999999999997)","(21.0, 32.0, 29.272727272727273)","(3.8, 4.8, 4.37948717948718)","(19.0, 29.0, 27.875)"
07-01-2023 14:58:28.076206,"(4.8, 5.2, 5.03)","(14.0, 19.5, 19.227272727272727)","(8.0, 14.5, 13.0)","(2.4, 2.76, 2.753333333333333)","(21.0, 32.0, 29.5)","(3.8, 4.4, 4.466666666666667)","(19.0, 29.0, 27.875)"
07-01-2023 14:58:29.137843,"(4.8, 5.2, 5.03)","(14.0, 19.5, 19.3)","(8.5, 14.5, 13.166666666666666)","(2.4, 2.76, 2.753333333333333)","(21.0, 32.0, 29.5)","(3.8, 4.7, 4.466666666666667)","(19.0, 29.0, 27.875)"
07-01-2023 14:58:30.087748,"(4.8, 5.2, 5.03)","(14.0, 19.5, 19.3)","(8.5, 14.0, 13.727272727272727)","(2.4, 2.76, 2.753333333333333)","(21.0, 30.0, 29.11111111111111)","(3.8, 4.6, 4.472727272727273)","(19.0, 29.0, 27.875)"
07-01-2023 14:58:31.088070,"(4.8, 5.0, 4.98139534883721)","(14.0, 19.5, 19.3)","(8.5, 14.0, 13.727272727272727)","(2.4, 2.76, 2.753333333333333)","(21.0, 30.0, 29.11111111111111)","(3.8, 4.6, 4.472727272727273)","(19.0, 29.0, 27.875)"
07-01-2023 14:58:32.138989,"(4.6, 5.0, 4.909803921568628)","(14.0, 19.5, 19.3)","(8.5, 14.0, 13.175)","(2.4, 2.76, 2.753333333333333)","(21.0, 30.0, 29.11111111111111)","(3.8, 4.6, 4.544736842105263)","(19.0, 29.0, 27.615384615384617)"
07-01-2023 14:58:33.202861,"(4.6, 5.0, 4.908620689655173)","(14.0, 19.5, 19.3)","(8.5, 14.0, 13.175)","(2.4, 2.76, 2.753333333333333)","(21.0, 30.0, 29.11111111111111)","(3.8, 4.6, 4.544736842105263)","(19.0, 29.0, 27.125)"
07-01-2023 14:58:34.229145,"(4.6, 4.9, 4.685714285714286)","(14.0, 19.5, 19.3)","(8.5, 14.0, 13.175)","(2.4, 2.76, 2.753333333333333)","(21.0, 30.0, 29.0)","(3.8, 4.6, 4.544736842105263)","(19.0, 29.0, 25.363636363636363)"
07-01-2023 14:58:35.245583,"(4.6, 4.9, 4.63076923076923)","(14.0, 19.5, 19.3)","(8.5, 14.0, 13.175)","(2.4, 2.76, 2.7266666666666666)","(21.0, 30.0, 29.333333333333332)","(3.8, 4.6, 4.544736842105263)","(19.0, 27.0, 25.153846153846153)"
07-01-2023 14:58:36.350308,"(4.6, 4.9, 4.6466666666666665)","(14.0, 19.5, 19.3)","(8.5, 14.0, 13.175)","(2.4, 2.78, 2.7266666666666666)","(21.0, 30.0, 29.333333333333332)","(3.8, 4.6, 4.544736842105263)","(19.0, 27.0, 25.153846153846153)"
07-01-2023 14:58:37.528081,"(4.6, 4.9, 4.6466666666666665)","(14.0, 19.5, 19.3)","(8.5, 14.0, 13.175)","(2.4, 2.78, 2.7382608695652175)","(21.0, 30.0, 29.333333333333332)","(3.8, 4.6, 4.55)","(19.0, 27.0, 26.11111111111111)"
07-01-2023 14:58:38.567133,"(4.6, 4.9, 4.637499999999999)","(14.0, 19.5, 19.3)","(8.5, 14.0, 13.175)","(2.4, 2.78, 2.7382608695652175)","(21.0, 30.0, 29.333333333333332)","(3.8, 4.6, 4.55)","(19.0, 27.0, 25.90909090909091)"
07-01-2023 14:58:39.721848,"(4.6, 4.9, 4.637499999999999)","(14.0, 19.5, 19.125)","(8.5, 14.0, 13.175)","(2.4, 2.78, 2.7382608695652175)","(21.0, 30.0, 29.333333333333332)","(3.8, 4.6, 4.55)","(19.0, 27.0, 25.90909090909091)"
07-01-2023 14:58:40.822427,"(4.6, 4.9, 4.637499999999999)","(14.0, 19.5, 19.25)","(8.5, 14.0, 13.175)","(2.4, 2.78, 2.7378947368421054)","(21.0, 30.0, 29.333333333333332)","(3.8, 4.6, 4.55)","(19.0, 27.0, 25.90909090909091)"
07-01-2023 14:58:41.989024,"(4.6, 4.9, 4.637499999999999)","(14.0, 19.5, 19.25)","(8.5, 14.0, 13.175)","(2.4, 2.78, 2.768)","(21.0, 30.0, 29.333333333333332)","(3.8, 4.6, 4.571428571428571)","(19.0, 27.0, 26.076923076923077)"
07-01-2023 14:58:43.075240,"(4.6, 4.9, 4.635593220338983)","(14.0, 19.5, 19.25)","(8.5, 14.0, 13.175)","(2.4, 2.8, 2.794736842105263)","(21.0, 30.0, 29.333333333333332)","(3.8, 4.7, 4.247252747252747)","(19.0, 27.0, 26.076923076923077)"
07-01-2023 14:58:44.139269,"(4.6, 4.9, 4.604166666666666)","(14.0, 19.5, 19.3)","(8.5, 14.0, 13.175)","(2.4, 2.8, 2.788)","(21.0, 30.0, 30.88888888888889)","(3.8, 4.3, 4.516)","(19.0, 27.0, 25.8)"
07-01-2023 14:58:45.243718,"(4.6, 4.8, 4.633333333333333)","(14.0, 19.5, 19.346153846153847)","(8.5, 14.0, 13.25)","(2.4, 2.82, 2.788)","(21.0, 32.0, 30.88888888888889)","(3.8, 4.6, 4.516)","(19.0, 26.0, 25.894736842105264)"
07-01-2023 14:58:46.303259,"(4.6, 4.8, 4.633333333333333)","(14.0, 19.5, 19.346153846153847)","(8.5, 14.0, 13.25)","(2.4, 2.82, 2.788)","(21.0, 32.0, 31.454545454545453)","(3.8, 4.6, 4.516)","(19.0, 26.0, 25.894736842105264)"
07-01-2023 14:58:47.367645,"(4.6, 4.8, 4.633333333333333)","(14.0, 21.0, 20.464285714285715)","(8.5, 14.0, 13.25)","(2.4, 2.82, 2.7733333333333334)","(21.0, 34.0, 31.454545454545453)","(3.8, 4.6, 4.516)","(19.0, 26.0, 25.894736842105264)"
07-01-2023 14:58:48.416631,"(4.6, 4.8, 4.633333333333333)","(14.0, 21.0, 20.464285714285715)","(8.5, 14.0, 13.25)","(2.4, 2.82, 2.7733333333333334)","(21.0, 34.0, 31.454545454545453)","(3.8, 4.6, 4.516)","(19.0, 26.0, 25.894736842105264)"
07-01-2023 14:58:49.446515,"(4.6, 4.8, 4.633333333333333)","(14.0, 21.0, 20.464285714285715)","(8.5, 14.0, 13.25)","(2.4, 2.82, 2.788)","(21.0, 34.0, 31.454545454545453)","(3.8, 4.6, 4.516)","(19.0, 26.0, 25.894736842105264)"
07-01-2023 14:58:50.667625,"(4.6, 4.8, 4.633333333333333)","(14.0, 21.0, 20.464285714285715)","(8.5, 14.0, 13.25)","(2.4, 2.82, 2.788)","(21.0, 34.0, 31.454545454545453)","(3.8, 4.6, 4.516)","(19.0, 26.0, 25.894736842105264)"
07-01-2023 14:58:51.689563,"(4.6, 4.8, 4.633333333333333)","(14.0, 21.0, 20.464285714285715)","(8.5, 14.0, 13.25)","(2.4, 2.82, 2.788)","(21.0, 34.0, 31.454545454545453)","(3.8, 4.6, 4.516)","(19.0, 26.0, 25.866666666666667)"
07-01-2023 14:58:52.858222,"(4.6, 4.8, 4.633333333333333)","(14.0, 21.0, 20.464285714285715)","(8.5, 14.0, 13.25)","(2.4, 2.82, 2.788)","(21.0, 34.0, 31.454545454545453)","(3.8, 4.6, 4.516)","(19.0, 26.0, 25.866666666666667)"
07-01-2023 14:58:54.229329,"(4.6, 4.8, 4.633333333333333)","(14.0, 21.0, 20.464285714285715)","(8.5, 14.0, 13.25)","(2.4, 2.82, 2.788)","(21.0, 34.0, 31.454545454545453)","(3.8, 4.6, 4.516)","(19.0, 26.0, 25.866666666666667)"
07-01-2023 14:58:55.425726,"(4.6, 4.8, 4.633333333333333)","(14.0, 21.0, 19.75)","(8.5, 14.0, 13.25)","(2.4, 2.82, 2.8348936170212764)","(21.0, 34.0, 31.6)","(3.8, 4.6, 4.516)","(19.0, 26.0, 25.866666666666667)"
07-01-2023 14:58:56.724647,"(4.6, 4.8, 4.633333333333333)","(14.0, 21.0, 19.75)","(8.5, 14.0, 13.25)","(2.4, 2.84, 2.8770967741935483)","(21.0, 34.0, 31.6)","(3.8, 4.6, 4.516)","(19.0, 26.0, 25.866666666666667)"
07-01-2023 14:58:57.907340,"(4.6, 4.8, 4.633333333333333)","(14.0, 21.0, 19.75)","(8.5, 14.0, 13.25)","(2.4, 2.92, 2.8978571428571427)","(21.0, 34.0, 31.6)","(3.8, 4.6, 4.516)","(19.0, 26.0, 25.866666666666667)"
07-01-2023 14:58:59.021506,"(4.6, 4.8, 4.633333333333333)","(14.0, 21.0, 19.75)","(8.5, 14.0, 13.25)","(2.4, 2.9, 2.8978571428571427)","(21.0, 34.0, 29.333333333333332)","(3.8, 4.6, 4.541666666666666)","(19.0, 26.0, 25.647058823529413)"
07-01-2023 14:59:00.097156,"(4.6, 4.8, 4.745833333333334)","(14.0, 20.0, 19.4)","(8.5, 14.0, 13.357142857142858)","(2.4, 2.9, 2.8978571428571427)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.6, 4.541666666666666)","(19.0, 26.0, 25.647058823529413)"
07-01-2023 14:59:01.251099,"(4.6, 4.8, 4.663636363636363)","(14.0, 20.0, 19.4)","(8.5, 14.0, 13.357142857142858)","(2.4, 2.9, 2.8978571428571427)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.6, 4.541666666666666)","(19.0, 26.0, 25.647058823529413)"
07-01-2023 14:59:02.461345,"(4.6, 4.8, 4.663636363636363)","(14.0, 20.0, 19.4)","(8.5, 14.0, 13.357142857142858)","(2.4, 2.9, 2.8978571428571427)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.6, 4.541666666666666)","(19.0, 26.0, 25.647058823529413)"
07-01-2023 14:59:03.590107,"(4.6, 4.8, 4.663636363636363)","(14.0, 20.0, 19.4)","(8.5, 14.0, 13.55)","(2.4, 2.9, 2.8978571428571427)","(21.0, 32.0, 28.8)","(3.8, 4.6, 4.541666666666666)","(19.0, 26.0, 25.866666666666667)"
07-01-2023 14:59:04.587539,"(4.6, 4.8, 4.693333333333333)","(14.0, 20.0, 19.4)","(8.5, 14.0, 12.875)","(2.4, 2.9, 2.8978571428571427)","(21.0, 32.0, 28.8)","(3.8, 4.6, 4.541666666666666)","(19.0, 26.0, 25.866666666666667)"
07-01-2023 14:59:05.663856,"(4.6, 4.8, 4.666666666666666)","(14.0, 20.0, 19.4)","(8.5, 14.0, 12.375)","(2.4, 2.9, 2.8978571428571427)","(21.0, 32.0, 28.8)","(3.8, 4.6, 4.541666666666666)","(19.0, 26.0, 25.866666666666667)"
07-01-2023 14:59:06.784229,"(4.6, 4.8, 4.666666666666666)","(14.0, 20.0, 19.4)","(8.5, 14.0, 12.375)","(2.4, 2.9, 2.8978571428571427)","(21.0, 32.0, 28.8)","(3.8, 4.6, 4.541666666666666)","(19.0, 26.0, 25.866666666666667)"
07-01-2023 14:59:07.838421,"(4.6, 4.8, 4.666666666666666)","(14.0, 20.0, 19.4)","(8.5, 14.0, 12.375)","(2.4, 2.9, 2.8978571428571427)","(21.0, 32.0, 28.8)","(3.8, 4.6, 4.541666666666666)","(19.0, 26.0, 25.833333333333332)"
07-01-2023 14:59:08.817618,"(4.6, 4.8, 4.666666666666666)","(14.0, 20.0, 19.4)","(8.5, 14.0, 12.375)","(2.4, 2.92, 2.828235294117647)","(21.0, 32.0, 28.8)","(3.8, 4.6, 4.541666666666666)","(19.0, 30.0, 26.0)"
07-01-2023 14:59:09.857748,"(4.6, 4.8, 4.666666666666666)","(14.0, 20.0, 19.4)","(8.5, 14.0, 12.916666666666666)","(2.4, 2.92, 2.875)","(21.0, 32.0, 28.8)","(3.8, 4.6, 4.541666666666666)","(19.0, 30.0, 25.625)"
07-01-2023 14:59:10.921274,"(4.6, 4.9, 4.64375)","(14.0, 20.0, 19.842105263157894)","(8.5, 14.0, 13.31578947368421)","(2.4, 2.9, 2.875)","(21.0, 32.0, 28.8)","(3.8, 4.6, 4.534375)","(19.0, 30.0, 25.625)"
07-01-2023 14:59:11.929567,"(4.6, 4.9, 4.64375)","(14.0, 20.0, 19.842105263157894)","(8.5, 14.0, 13.31578947368421)","(2.4, 2.9, 2.875)","(21.0, 32.0, 28.8)","(3.8, 4.6, 4.534375)","(19.0, 30.0, 27.307692307692307)"
07-01-2023 14:59:12.930493,"(4.6, 4.9, 4.64375)","(14.0, 20.0, 19.842105263157894)","(8.5, 14.0, 13.31578947368421)","(2.4, 2.9, 2.875)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.6, 4.534375)","(19.0, 30.0, 27.307692307692307)"
07-01-2023 14:59:13.967902,"(4.6, 4.9, 4.64375)","(14.0, 21.0, 20.625)","(8.5, 13.5, 13.38888888888889)","(2.4, 2.9, 2.875)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.6, 4.534375)","(19.0, 30.0, 27.307692307692307)"
07-01-2023 14:59:15.068921,"(4.6, 4.9, 4.64375)","(14.0, 21.0, 20.625)","(8.5, 13.5, 13.041666666666666)","(2.4, 2.9, 2.875)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.6, 4.534375)","(19.0, 30.0, 26.875)"
07-01-2023 14:59:16.073419,"(4.6, 4.9, 4.64375)","(14.0, 21.0, 20.625)","(8.5, 13.5, 13.041666666666666)","(2.4, 2.9, 2.875)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.6, 4.534375)","(19.0, 30.0, 26.875)"
07-01-2023 14:59:17.105178,"(4.6, 4.9, 4.64375)","(14.0, 21.0, 20.625)","(8.5, 13.5, 13.041666666666666)","(2.4, 2.9, 2.875)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.6, 4.534375)","(19.0, 30.0, 26.875)"
07-01-2023 14:59:18.218182,"(4.6, 4.9, 4.640384615384615)","(14.0, 21.0, 20.625)","(8.5, 13.5, 13.041666666666666)","(2.4, 2.9, 2.863157894736842)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.6, 4.534375)","(19.0, 30.0, 26.875)"
07-01-2023 14:59:19.250404,"(4.6, 4.8, 4.707692307692308)","(14.0, 21.0, 20.625)","(8.5, 13.5, 12.961538461538462)","(2.4, 2.9, 2.863157894736842)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.6, 4.472413793103448)","(19.0, 30.0, 25.454545454545453)"
07-01-2023 14:59:20.280490,"(4.6, 4.8, 4.707692307692308)","(14.0, 21.0, 20.625)","(8.5, 13.5, 12.961538461538462)","(2.4, 2.9, 2.8274285714285714)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.5, 4.475)","(19.0, 30.0, 25.454545454545453)"
07-01-2023 14:59:21.309096,"(4.6, 4.8, 4.707692307692308)","(14.0, 21.0, 20.625)","(8.5, 13.5, 12.961538461538462)","(2.4, 2.88, 2.8246153846153845)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.5, 4.475)","(19.0, 30.0, 25.454545454545453)"
07-01-2023 14:59:22.332835,"(4.6, 4.8, 4.707692307692308)","(14.0, 21.0, 20.625)","(8.5, 13.5, 12.961538461538462)","(2.4, 2.88, 2.8274285714285714)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.5, 4.475)","(19.0, 30.0, 25.454545454545453)"
07-01-2023 14:59:23.272819,"(4.6, 4.8, 4.707692307692308)","(14.0, 21.0, 20.625)","(8.5, 13.5, 12.961538461538462)","(2.4, 2.88, 2.8274285714285714)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.5, 4.475)","(19.0, 30.0, 25.454545454545453)"
07-01-2023 14:59:24.376876,"(4.6, 5.0, 4.925)","(14.0, 21.0, 20.625)","(8.5, 13.5, 12.961538461538462)","(2.4, 2.88, 2.8274285714285714)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.5, 4.475)","(19.0, 30.0, 25.454545454545453)"
07-01-2023 14:59:25.463809,"(4.6, 5.0, 4.83125)","(14.0, 21.0, 20.625)","(8.5, 13.5, 12.961538461538462)","(2.4, 2.88, 2.8274285714285714)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.5, 4.463636363636364)","(19.0, 30.0, 25.454545454545453)"
07-01-2023 14:59:26.441114,"(4.6, 4.9, 4.868)","(14.0, 21.0, 20.625)","(8.5, 13.5, 12.961538461538462)","(2.4, 2.88, 2.8274285714285714)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.5, 4.463636363636364)","(19.0, 30.0, 25.454545454545453)"
07-01-2023 14:59:27.397273,"(4.6, 4.9, 4.868)","(14.0, 21.0, 20.625)","(8.5, 13.5, 12.961538461538462)","(2.4, 2.88, 2.86)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.5, 4.463636363636364)","(19.0, 30.0, 25.357142857142858)"
07-01-2023 14:59:28.461948,"(4.6, 4.9, 4.875757575757576)","(14.0, 21.0, 20.270833333333332)","(8.5, 13.5, 12.961538461538462)","(2.4, 2.86, 2.8449999999999998)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.5, 4.463636363636364)","(19.0, 30.0, 25.357142857142858)"
07-01-2023 14:59:29.531598,"(4.6, 4.9, 4.8927272727272735)","(14.0, 21.0, 20.270833333333332)","(8.5, 13.5, 12.961538461538462)","(2.4, 2.86, 2.8449999999999998)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.5, 4.494594594594594)","(19.0, 30.0, 25.357142857142858)"
07-01-2023 14:59:30.528860,"(4.6, 5.0, 4.972881355932204)","(14.0, 21.0, 20.270833333333332)","(8.5, 13.5, 12.852272727272727)","(2.4, 2.86, 2.8449999999999998)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.6, 4.494594594594594)","(19.0, 30.0, 25.357142857142858)"
07-01-2023 14:59:31.476616,"(4.6, 5.0, 4.985454545454545)","(14.0, 21.0, 20.270833333333332)","(8.5, 13.5, 12.852272727272727)","(2.4, 2.86, 2.8449999999999998)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.6, 4.494594594594594)","(19.0, 30.0, 25.357142857142858)"
07-01-2023 14:59:32.458292,"(4.6, 5.0, 4.988405797101449)","(14.0, 21.0, 20.270833333333332)","(8.5, 13.5, 12.852272727272727)","(2.4, 2.86, 2.8449999999999998)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.6, 4.430434782608695)","(19.0, 30.0, 25.357142857142858)"
07-01-2023 14:59:33.485130,"(4.6, 5.0, 4.988405797101449)","(14.0, 21.0, 20.270833333333332)","(8.5, 13.5, 12.852272727272727)","(2.4, 2.86, 2.83)","(21.0, 32.0, 29.333333333333332)","(3.8, 4.6, 4.476470588235294)","(19.0, 30.0, 25.357142857142858)"
07-01-2023 14:59:34.434294,"(4.6, 5.0, 4.996969696969697)","(14.0, 21.0, 20.270833333333332)","(8.5, 13.5, 12.868421052631579)","(2.4, 2.88, 2.83)","(21.0, 32.0, 28.571428571428573)","(3.8, 4.6, 4.476470588235294)","(19.0, 30.0, 25.357142857142858)"
07-01-2023 14:59:35.438774,"(4.6, 5.0, 4.996969696969697)","(14.0, 21.0, 20.270833333333332)","(8.5, 13.5, 12.868421052631579)","(2.4, 2.88, 2.83)","(21.0, 32.0, 28.571428571428573)","(3.8, 4.6, 4.476470588235294)","(19.0, 30.0, 25.357142857142858)"
07-01-2023 14:59:36.506272,"(4.6, 5.0, 4.996969696969697)","(14.0, 21.0, 20.270833333333332)","(8.5, 13.5, 12.916666666666666)","(2.4, 2.88, 2.83)","(21.0, 32.0, 28.666666666666668)","(3.8, 4.6, 4.476470588235294)","(19.0, 30.0, 26.0)"
07-01-2023 14:59:37.554024,"(4.6, 5.0, 4.996969696969697)","(14.0, 20.0, 19.842105263157894)","(8.5, 13.5, 13.064516129032258)","(2.4, 2.88, 2.83)","(21.0, 30.0, 28.666666666666668)","(3.8, 4.6, 4.476470588235294)","(19.0, 29.0, 25.571428571428573)"
07-01-2023 14:59:38.646161,"(4.6, 5.0, 4.996969696969697)","(14.0, 20.0, 19.842105263157894)","(8.5, 13.5, 13.064516129032258)","(2.4, 2.88, 2.83)","(21.0, 30.0, 28.666666666666668)","(3.8, 4.6, 4.438461538461538)","(19.0, 29.0, 25.571428571428573)"
07-01-2023 14:59:39.942141,"(4.6, 5.0, 4.996969696969697)","(14.0, 20.0, 19.842105263157894)","(8.5, 13.5, 13.064516129032258)","(2.4, 2.88, 2.83)","(21.0, 30.0, 28.666666666666668)","(3.8, 4.6, 4.438461538461538)","(19.0, 29.0, 25.571428571428573)"
07-01-2023 14:59:41.147524,"(4.6, 5.0, 4.997183098591549)","(14.0, 20.0, 19.842105263157894)","(8.5, 13.5, 13.064516129032258)","(2.4, 2.88, 2.83)","(21.0, 30.0, 27.6)","(3.8, 4.6, 4.392307692307692)","(19.0, 29.0, 25.571428571428573)"
07-01-2023 14:59:42.294637,"(4.6, 5.0, 4.997183098591549)","(14.0, 20.0, 19.842105263157894)","(8.5, 13.5, 13.064516129032258)","(2.4, 2.88, 2.83)","(21.0, 29.0, 25.5)","(3.8, 4.7, 4.392307692307692)","(19.0, 29.0, 25.571428571428573)"
07-01-2023 14:59:43.394307,"(4.6, 5.0, 4.997183098591549)","(14.0, 20.0, 19.842105263157894)","(8.5, 13.5, 13.064516129032258)","(2.4, 2.88, 2.8577777777777778)","(21.0, 29.0, 28.0)","(3.8, 4.7, 4.392307692307692)","(19.0, 29.0, 25.571428571428573)"
07-01-2023 14:59:44.448657,"(4.6, 5.0, 4.997368421052632)","(14.0, 20.0, 19.842105263157894)","(8.5, 13.5, 13.064516129032258)","(2.4, 2.88, 2.8577777777777778)","(21.0, 29.0, 28.0)","(3.8, 4.7, 4.392307692307692)","(19.0, 29.0, 25.571428571428573)"
07-01-2023 14:59:45.520414,"(4.6, 5.0, 4.997368421052632)","(14.0, 20.0, 19.842105263157894)","(8.5, 13.5, 13.064516129032258)","(2.4, 2.88, 2.8602469135802466)","(21.0, 29.0, 28.0)","(3.8, 4.7, 4.449999999999999)","(19.0, 29.0, 25.571428571428573)"
07-01-2023 14:59:46.596460,"(4.6, 5.0, 4.997368421052632)","(14.0, 20.0, 19.842105263157894)","(8.5, 13.5, 13.064516129032258)","(2.4, 2.88, 2.8602469135802466)","(21.0, 29.0, 28.0)","(3.8, 4.6, 4.449999999999999)","(19.0, 29.0, 25.75)"
07-01-2023 14:59:47.507468,"(4.6, 5.0, 4.997368421052632)","(14.0, 20.0, 19.842105263157894)","(8.5, 13.5, 13.064516129032258)","(2.4, 2.88, 2.8602469135802466)","(21.0, 29.0, 28.0)","(3.8, 4.6, 4.449999999999999)","(19.0, 28.0, 25.375)"
07-01-2023 14:59:48.479154,"(4.6, 5.0, 4.997368421052632)","(14.0, 20.0, 19.842105263157894)","(8.5, 13.5, 13.064516129032258)","(2.4, 2.88, 2.8602469135802466)","(21.0, 29.0, 28.0)","(3.8, 4.6, 4.449999999999999)","(19.0, 28.0, 25.375)"
07-01-2023 14:59:49.495951,"(4.6, 5.0, 4.997368421052632)","(14.0, 20.0, 19.842105263157894)","(8.5, 13.5, 13.064516129032258)","(2.4, 2.88, 2.810082644628099)","(21.0, 29.0, 28.0)","(3.8, 4.6, 4.449999999999999)","(19.0, 28.0, 25.375)"
