,Rupurt Keen,Sketchy Deliver,Kid Freeze,Spot Of Rum,Wonder Woolly,Seabrook Baker,Charming Spirit,Izuku Bale
05-01-2023 16:04:25.205469,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:26.473264,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:27.678472,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:28.936855,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:30.169667,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:31.442293,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:33.045838,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:34.368804,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:35.707284,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:36.976515,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:38.227228,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 570.7142857142858)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:39.443580,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 570.7142857142858)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:40.614214,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 570.7142857142858)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:41.806573,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 570.7142857142858)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:42.977922,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 570.7142857142858)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:44.120078,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 570.7142857142858)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:45.330839,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 570.7142857142858)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:46.524210,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 570.7142857142858)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:47.705169,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 570.7142857142858)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:48.885561,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:50.043818,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:51.261613,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:52.843929,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:04:54.654638,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:04:55.818483,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:04:57.180133,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:04:58.522629,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:04:59.897380,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:01.266371,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:02.709334,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:04.107108,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:05.452229,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:06.817023,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:08.135975,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:09.483981,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:10.689644,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:11.956699,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:13.179794,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:14.487020,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:15.806824,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:17.106414,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:18.242550,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:19.533813,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:20.790722,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:22.161810,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:23.548845,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:24.809775,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:26.190562,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:27.476789,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:28.861553,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:30.237529,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 558.3333333333334)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:31.584913,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 558.3333333333334)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:32.883444,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 558.3333333333334)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:34.062237,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 558.3333333333334)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:35.347101,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 558.3333333333334)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:36.624478,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 558.3333333333334)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:37.973047,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 558.3333333333334)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:39.331713,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 8.692307692307692)","(41.0, 230.0, 199.33333333333334)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 558.3333333333334)","(10.0, 21.0, 18.5)","(41.0, 220.0, 129.0)"
05-01-2023 16:05:40.734805,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 558.3333333333334)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:05:42.043839,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 558.3333333333334)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:05:43.310279,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 558.3333333333334)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:05:44.561029,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 558.3333333333334)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:05:45.738827,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 558.3333333333334)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:05:46.987902,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 558.3333333333334)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:05:48.311267,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:05:49.612513,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:05:50.878123,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:05:52.137354,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:05:53.376963,"(1.7, 2.58, 1.9242857142857144)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:05:54.584675,"(1.7, 2.58, 1.9242857142857144)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:05:55.768772,"(1.7, 2.58, 1.9242857142857144)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:05:57.038684,"(1.7, 2.58, 1.9242857142857144)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:05:58.264436,"(1.7, 2.58, 1.9242857142857144)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:05:59.467890,"(1.7, 2.58, 1.9242857142857144)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:06:00.568955,"(1.7, 2.58, 1.9242857142857144)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:06:01.726812,"(1.7, 2.58, 1.9242857142857144)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:06:02.957998,"(1.7, 2.58, 1.9242857142857144)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:06:04.127429,"(1.7, 2.58, 1.9242857142857144)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:06:05.444621,"(1.7, 2.58, 1.9242857142857144)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:06:06.998315,"(1.7, 2.58, 1.9242857142857144)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:06:08.202305,"(1.7, 2.58, 1.9242857142857144)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
05-01-2023 16:06:09.483616,"(1.7, 2.58, 1.9242857142857144)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.0, 9.857142857142858)","(41.0, 230.0, 209.55555555555554)","(8.5, 17.0, 14.266666666666666)","(101.0, 650.0, 372.5)","(10.0, 21.0, 18.5)","(41.0, 220.0, 150.0)"
