,Sorrento Breeze,Katara Love,Say Some Words,Easy Eddie,Mean Pop
06-01-2023 11:34:55.345659,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:56.192572,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:57.084956,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:57.893631,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:58.782681,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:59.676962,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:00.470922,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:01.294464,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:02.241459,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:03.191839,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:04.103581,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:04.957820,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:05.794953,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:06.599744,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:07.457860,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:08.338205,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:09.244198,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:10.074069,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:10.914141,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:11.760899,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:12.573997,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:13.405548,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
