,Rhythmic Pulse,Abdicating,Subterranean,Bundyandcoke,Maxcalemma,Holiday Dreams,Fastconi,Head Legislator,Magic Conqueror,Capri Of Tuffy,Onchao,Vetta Velocita
11-01-2023 17:44:38.780785,"(26.0, 38.0, 37.320754716981135)","(26.0, 34.0, 33.183673469387756)","(6.0, 7.2, 7.121693121693122)","(6.0, 7.4, 7.310638297872341)","(10.0, 12.5, 12.02991452991453)","(12.0, 14.5, 14.421319796954315)","(4.2, 4.2, 4.132638888888889)","(12.0, 13.5, 13.555555555555555)","(17.0, 21.0, 20.404255319148938)","(12.0, 14.5, 13.905405405405405)","(26.0, 38.0, 37.375)","(17.0, 20.0, 19.7)"
11-01-2023 17:44:40.200506,"(26.0, 38.0, 37.37037037037037)","(26.0, 34.0, 33.21568627450981)","(6.0, 7.2, 7.121693121693122)","(6.0, 7.4, 7.311578947368421)","(10.0, 12.5, 12.06)","(12.0, 14.5, 14.423645320197044)","(4.2, 4.2, 4.125130890052356)","(12.0, 14.0, 13.587628865979381)","(17.0, 21.0, 20.428571428571427)","(12.0, 14.0, 13.908296943231441)","(26.0, 38.0, 37.411764705882355)","(17.0, 20.0, 19.38888888888889)"
11-01-2023 17:44:41.699561,"(26.0, 38.0, 37.13636363636363)","(26.0, 34.0, 33.31147540983606)","(6.0, 7.2, 7.1171717171717175)","(6.0, 7.4, 7.310638297872341)","(10.0, 12.5, 12.18452380952381)","(13.0, 14.5, 14.423645320197044)","(4.0, 4.2, 4.132266666666666)","(12.0, 14.0, 13.603658536585366)","(17.0, 21.0, 20.432989690721648)","(12.0, 14.0, 13.824652777777779)","(26.0, 38.0, 37.6)","(17.0, 19.5, 19.363636363636363)"
11-01-2023 17:44:43.261883,"(26.0, 38.0, 37.470588235294116)","(26.0, 34.0, 33.31147540983606)","(6.0, 7.2, 7.12843137254902)","(6.0, 7.4, 7.324625267665954)","(10.0, 12.5, 12.074468085106384)","(13.0, 14.5, 14.62962962962963)","(4.0, 4.2, 4.092068965517241)","(12.0, 14.0, 13.563636363636364)","(17.0, 21.0, 20.272727272727273)","(12.0, 14.0, 13.800395256916996)","(26.0, 38.0, 37.2)","(17.0, 19.5, 19.06)"
11-01-2023 17:44:44.694900,"(26.0, 38.0, 37.54545454545455)","(26.0, 34.0, 33.59183673469388)","(6.0, 7.2, 7.252525252525253)","(6.0, 7.4, 7.360638297872341)","(10.0, 12.5, 12.152173913043478)","(13.0, 15.0, 13.831914893617022)","(3.9, 4.1, 4.314030915576694)","(12.0, 14.0, 11.590909090909092)","(17.0, 21.0, 22.589041095890412)","(12.0, 14.0, 13.49090909090909)","(26.0, 38.0, 37.4392523364486)","(17.0, 19.5, 20.21785714285714)"
11-01-2023 17:44:46.134354,"(26.0, 38.0, 36.9375)","(26.0, 34.0, 33.59183673469388)","(6.0, 7.4, 7.247058823529412)","(6.0, 7.4, 7.35701754385965)","(10.0, 12.5, 12.153284671532846)","(13.0, 14.0, 13.81140350877193)","(3.9, 4.5, 4.378947368421053)","(12.0, 12.0, 11.526315789473685)","(17.0, 23.0, 22.589041095890412)","(12.0, 13.5, 12.951754385964913)","(26.0, 38.0, 36.8421052631579)","(17.0, 21.0, 19.926136363636363)"
11-01-2023 17:44:47.593397,"(26.0, 38.0, 36.526315789473685)","(26.0, 34.0, 33.333333333333336)","(6.0, 7.4, 7.247058823529412)","(6.0, 7.4, 7.368141592920354)","(10.0, 12.5, 12.179012345679013)","(13.0, 14.0, 13.938202247191011)","(3.9, 4.4, 4.372937293729374)","(12.0, 12.0, 11.568702290076336)","(17.0, 23.0, 22.433962264150942)","(12.0, 13.0, 13.357142857142858)","(31.0, 38.0, 37.083333333333336)","(17.0, 20.0, 19.903846153846153)"
11-01-2023 17:44:49.023361,"(31.0, 38.0, 36.645161290322584)","(26.0, 34.0, 33.38235294117647)","(6.0, 7.2, 7.154621848739496)","(6.0, 7.4, 7.3568281938326)","(11.0, 12.5, 12.179012345679013)","(13.0, 14.0, 13.938202247191011)","(3.9, 4.4, 4.371428571428572)","(12.0, 12.0, 11.585616438356164)","(17.0, 23.0, 22.392156862745097)","(12.0, 13.5, 13.186567164179104)","(31.0, 38.0, 37.083333333333336)","(17.0, 20.0, 19.932989690721648)"
11-01-2023 17:44:50.439223,"(31.0, 38.0, 36.645161290322584)","(26.0, 34.0, 33.40845070422535)","(6.0, 7.2, 7.154621848739496)","(6.0, 7.4, 7.367567567567568)","(11.0, 12.5, 12.362804878048781)","(13.0, 14.0, 13.96712802768166)","(3.9, 4.4, 4.367785234899329)","(12.0, 12.0, 11.61436170212766)","(17.0, 23.0, 22.392156862745097)","(12.0, 13.5, 13.255555555555556)","(31.0, 38.0, 37.18181818181818)","(17.0, 20.0, 19.932989690721648)"
11-01-2023 17:44:51.971362,"(31.0, 38.0, 36.622950819672134)","(26.0, 34.0, 33.84905660377358)","(6.0, 7.2, 7.036220472440945)","(6.0, 7.4, 7.303317535545024)","(11.0, 12.5, 12.61023622047244)","(13.0, 14.0, 14.066265060240964)","(3.9, 4.4, 4.349532710280374)","(12.0, 12.0, 11.665413533834586)","(17.0, 23.0, 22.56338028169014)","(12.0, 13.5, 13.302631578947368)","(31.0, 38.0, 37.44827586206897)","(17.0, 20.0, 20.267241379310345)"
11-01-2023 17:44:53.389567,"(31.0, 38.0, 36.88)","(26.0, 34.0, 33.84615384615385)","(6.0, 7.2, 7.054761904761905)","(6.0, 7.4, 7.240287769784173)","(11.0, 13.0, 12.372659176029963)","(13.0, 14.5, 14.139810426540285)","(3.9, 4.4, 4.364432989690722)","(12.0, 12.0, 11.632231404958677)","(17.0, 23.0, 22.586666666666666)","(12.0, 13.5, 13.336206896551724)","(31.0, 38.0, 37.407407407407405)","(17.0, 21.0, 20.129032258064516)"
11-01-2023 17:44:54.810698,"(31.0, 38.0, 37.07692307692308)","(26.0, 34.0, 33.77272727272727)","(6.0, 7.0, 6.926060606060606)","(6.0, 7.4, 7.225570776255708)","(11.0, 12.5, 12.395705521472392)","(12.0, 14.5, 14.18867924528302)","(4.0, 4.4, 4.274787052810903)","(11.0, 12.0, 11.683467741935484)","(17.0, 23.0, 22.6125)","(12.0, 13.5, 13.585714285714285)","(31.0, 38.0, 36.666666666666664)","(17.0, 21.0, 20.060109289617486)"
11-01-2023 17:44:56.178082,"(31.0, 38.0, 37.08910891089109)","(26.0, 34.0, 33.955555555555556)","(6.0, 7.0, 6.9655813953488375)","(6.0, 7.4, 7.254198473282443)","(11.0, 12.5, 12.375757575757575)","(12.0, 14.5, 14.185096153846153)","(4.0, 4.3, 4.263136176066025)","(11.0, 12.0, 11.737442922374429)","(17.0, 23.0, 21.993506493506494)","(12.0, 14.0, 13.56084656084656)","(31.0, 38.0, 36.63157894736842)","(17.0, 21.0, 20.117948717948718)"
11-01-2023 17:44:57.577292,"(31.0, 38.0, 37.12380952380953)","(26.0, 34.0, 33.96)","(6.0, 7.0, 7.049824561403509)","(6.0, 7.4, 7.272240802675586)","(11.0, 12.5, 12.44822006472492)","(12.0, 14.5, 14.211453744493392)","(4.0, 4.3, 4.265504807692308)","(11.0, 12.0, 11.85)","(17.0, 22.0, 22.636363636363637)","(11.0, 14.0, 13.616504854368932)","(31.0, 38.0, 36.5945945945946)","(17.0, 21.0, 20.206703910614525)"
11-01-2023 17:44:59.028345,"(31.0, 36.0, 34.71559633027523)","(26.0, 34.0, 33.690140845070424)","(6.0, 7.2, 7.065396825396825)","(6.0, 7.4, 7.270383275261325)","(11.0, 12.5, 12.405982905982906)","(12.0, 14.5, 13.653937947494033)","(4.0, 4.3, 4.277992957746479)","(11.0, 12.0, 11.945859872611464)","(17.0, 23.0, 21.88888888888889)","(11.0, 14.0, 13.679611650485437)","(31.0, 38.0, 35.758620689655174)","(17.0, 21.0, 20.235849056603772)"
11-01-2023 17:45:00.462069,"(31.0, 36.0, 34.71559633027523)","(26.0, 36.0, 33.7687074829932)","(6.0, 7.2, 6.972307692307692)","(6.0, 7.4, 7.27148288973384)","(11.0, 12.5, 12.397196261682243)","(12.0, 14.0, 13.657210401891254)","(3.8, 4.3, 4.280540540540541)","(11.0, 12.0, 12.104265402843602)","(17.0, 22.0, 21.878048780487806)","(12.0, 14.0, 14.057251908396946)","(31.0, 36.0, 35.72549019607843)","(17.0, 21.0, 20.261061946902654)"
11-01-2023 17:45:02.019466,"(31.0, 36.0, 34.80701754385965)","(26.0, 36.0, 33.7687074829932)","(6.0, 7.0, 6.972307692307692)","(6.0, 7.4, 7.27175572519084)","(11.0, 12.5, 12.32258064516129)","(12.0, 14.0, 13.439716312056738)","(3.8, 4.3, 4.298697539797395)","(11.0, 12.5, 11.996913580246913)","(17.0, 22.0, 22.313725490196077)","(12.0, 14.5, 14.094405594405595)","(31.0, 36.0, 33.25925925925926)","(17.0, 21.0, 20.098360655737704)"
11-01-2023 17:45:03.418931,"(31.0, 36.0, 34.921875)","(26.0, 36.0, 34.06741573033708)","(6.0, 7.0, 7.068062827225131)","(6.0, 7.4, 7.329383886255925)","(11.0, 12.5, 11.588709677419354)","(12.0, 13.5, 13.419014084507042)","(3.8, 4.3, 4.2998394863563405)","(11.0, 12.0, 12.13519313304721)","(17.0, 23.0, 22.746835443037973)","(12.0, 14.5, 14.016129032258064)","(31.0, 34.0, 35.03448275862069)","(17.0, 21.0, 20.318181818181817)"
11-01-2023 17:45:04.915715,"(31.0, 36.0, 35.11409395973154)","(26.0, 36.0, 33.78064516129032)","(6.0, 7.2, 6.813793103448275)","(6.0, 7.4, 7.323492723492723)","(11.0, 12.0, 11.703056768558952)","(12.0, 13.5, 13.306722689075631)","(3.9, 4.3, 4.345993413830955)","(11.0, 12.5, 12.177927927927929)","(17.0, 23.0, 22.788235294117648)","(12.0, 14.5, 14.08904109589041)","(31.0, 36.0, 34.44444444444444)","(17.0, 21.0, 20.08839779005525)"
11-01-2023 17:45:06.352702,"(31.0, 36.0, 35.3)","(26.0, 34.0, 34.02298850574713)","(6.0, 7.2, 7.142857142857143)","(6.0, 7.4, 7.379282868525896)","(11.0, 12.0, 11.92039800995025)","(12.0, 13.5, 13.38888888888889)","(3.9, 4.4, 4.239914163090129)","(11.0, 12.5, 12.375)","(17.0, 23.0, 23.389312977099237)","(12.0, 14.5, 14.404255319148936)","(31.0, 36.0, 35.67272727272727)","(17.0, 21.0, 20.402985074626866)"
11-01-2023 17:45:07.657628,"(31.0, 36.0, 35.3)","(26.0, 36.0, 34.02298850574713)","(6.0, 7.2, 7.170868347338936)","(6.0, 7.4, 7.380228136882129)","(11.0, 12.0, 11.948979591836734)","(12.0, 13.5, 13.470394736842104)","(3.9, 4.3, 4.271174377224199)","(11.0, 12.5, 12.378676470588236)","(17.0, 24.0, 23.40740740740741)","(12.0, 14.5, 13.729166666666666)","(31.0, 36.0, 35.689655172413794)","(17.0, 21.0, 20.25409836065574)"
11-01-2023 17:45:08.999439,"(31.0, 36.0, 35.40350877192982)","(26.0, 36.0, 34.02298850574713)","(6.0, 7.2, 7.169767441860465)","(6.0, 7.4, 7.380228136882129)","(11.0, 12.0, 11.995384615384616)","(12.0, 13.5, 13.210884353741497)","(3.9, 4.3, 4.275)","(11.0, 12.5, 11.699029126213592)","(17.0, 24.0, 23.516778523489933)","(12.0, 14.0, 13.842465753424657)","(31.0, 36.0, 35.714285714285715)","(17.0, 21.0, 19.99438202247191)"
11-01-2023 17:45:10.390495,"(31.0, 36.0, 35.43956043956044)","(26.0, 36.0, 34.02298850574713)","(6.0, 7.2, 7.1767676767676765)","(6.0, 7.4, 7.384927536231884)","(11.0, 12.5, 12.032142857142857)","(12.0, 14.0, 13.468208092485549)","(3.9, 4.3, 4.301327433628319)","(11.0, 12.0, 11.089285714285714)","(17.0, 24.0, 23.32075471698113)","(12.0, 14.0, 13.842465753424657)","(31.0, 36.0, 36.69662921348315)","(17.0, 20.0, 19.948863636363637)"
11-01-2023 17:45:11.795086,"(31.0, 36.0, 35.44864864864865)","(26.0, 36.0, 34.02298850574713)","(6.0, 7.2, 7.180645161290323)","(6.0, 7.4, 7.384927536231884)","(11.0, 12.5, 12.032142857142857)","(12.0, 13.5, 13.47985347985348)","(3.9, 4.4, 4.336918604651163)","(11.0, 11.5, 11.230263157894736)","(17.0, 24.0, 23.485714285714284)","(12.0, 14.0, 13.877659574468085)","(31.0, 38.0, 36.8041237113402)","(17.0, 20.0, 19.955882352941178)"
11-01-2023 17:45:13.267429,"(31.0, 36.0, 35.464646464646464)","(26.0, 36.0, 34.024096385542165)","(6.0, 7.2, 7.184941176470589)","(6.0, 7.4, 7.386458333333334)","(11.0, 12.0, 11.877551020408163)","(12.0, 13.5, 13.479477611940299)","(3.9, 4.4, 4.335608308605341)","(11.0, 11.5, 11.324074074074074)","(17.0, 24.0, 23.526315789473685)","(12.0, 14.0, 14.383116883116884)","(31.0, 38.0, 36.58461538461538)","(17.0, 20.0, 19.92924528301887)"
11-01-2023 17:45:14.837782,"(31.0, 36.0, 35.464646464646464)","(26.0, 36.0, 33.883870967741935)","(6.0, 7.2, 7.184736842105263)","(6.0, 7.4, 7.385674931129477)","(11.0, 12.0, 11.84375)","(12.0, 13.5, 13.310344827586206)","(3.9, 4.4, 4.323021582733813)","(11.0, 11.5, 11.037974683544304)","(17.0, 24.0, 23.526315789473685)","(12.0, 14.5, 13.130434782608695)","(31.0, 38.0, 36.70422535211268)","(17.0, 20.0, 20.084269662921347)"
11-01-2023 17:45:16.254857,"(31.0, 36.0, 35.74418604651163)","(26.0, 36.0, 34.52336448598131)","(6.0, 7.4, 7.344366197183099)","(6.0, 7.4, 7.324521739130435)","(11.0, 12.0, 11.967455621301776)","(12.0, 14.0, 13.483455882352942)","(3.9, 4.4, 4.365543644716692)","(11.0, 11.5, 11.273291925465838)","(17.0, 24.0, 23.54471544715447)","(12.0, 13.5, 12.838709677419354)","(31.0, 38.0, 37.06122448979592)","(17.0, 21.0, 20.285106382978725)"
11-01-2023 17:45:17.664155,"(31.0, 36.0, 35.75141242937853)","(26.0, 36.0, 34.52336448598131)","(6.0, 7.4, 7.344366197183099)","(6.0, 7.4, 7.323185840707965)","(11.0, 12.0, 11.933862433862434)","(12.0, 13.5, 13.474729241877256)","(3.8, 4.4, 4.369078947368421)","(11.0, 11.5, 11.273291925465838)","(18.0, 24.0, 23.504424778761063)","(12.0, 13.0, 12.827586206896552)","(31.0, 38.0, 37.06122448979592)","(17.0, 21.0, 20.253333333333334)"
11-01-2023 17:45:18.984443,"(31.0, 36.0, 35.75141242937853)","(26.0, 36.0, 34.52336448598131)","(6.0, 7.4, 7.345138888888889)","(6.0, 7.4, 7.323185840707965)","(11.0, 12.0, 11.933862433862434)","(12.0, 13.5, 13.474729241877256)","(3.8, 4.4, 4.369078947368421)","(11.0, 11.5, 11.273291925465838)","(18.0, 24.0, 23.517241379310345)","(12.0, 13.0, 12.827586206896552)","(31.0, 38.0, 37.06122448979592)","(17.0, 21.0, 20.26511627906977)"
11-01-2023 17:45:20.451045,"(31.0, 36.0, 35.75141242937853)","(26.0, 36.0, 34.391752577319586)","(6.0, 7.4, 7.3392307692307694)","(6.0, 7.4, 7.353982300884956)","(11.0, 12.0, 11.888513513513514)","(12.0, 13.5, 13.474358974358974)","(3.8, 4.4, 4.336872037914692)","(11.0, 11.5, 11.26602564102564)","(18.0, 24.0, 23.517241379310345)","(12.0, 13.0, 12.81081081081081)","(31.0, 38.0, 37.08)","(17.0, 21.0, 20.21256038647343)"
11-01-2023 17:45:21.863236,"(31.0, 38.0, 37.1551724137931)","(26.0, 36.0, 34.8421052631579)","(6.0, 7.4, 7.363559322033899)","(6.0, 7.4, 7.383770883054893)","(11.0, 12.0, 12.055970149253731)","(12.0, 13.5, 13.526573426573426)","(3.8, 4.4, 4.2577669902912625)","(11.0, 11.5, 11.31592039800995)","(18.0, 24.0, 23.633986928104576)","(12.0, 13.0, 12.928571428571429)","(31.0, 38.0, 37.12765957446808)","(17.0, 21.0, 20.315018315018314)"
11-01-2023 17:45:23.303657,"(31.0, 38.0, 37.1551724137931)","(26.0, 36.0, 34.8421052631579)","(6.5, 7.4, 7.363559322033899)","(6.0, 7.4, 7.385185185185185)","(11.0, 12.5, 12.020661157024794)","(12.0, 14.0, 13.432865731462925)","(3.8, 4.3, 4.25952023988006)","(11.0, 11.5, 11.292181069958847)","(18.0, 24.0, 23.66060606060606)","(12.0, 13.0, 12.941666666666666)","(31.0, 38.0, 37.18811881188119)","(17.0, 21.0, 20.363636363636363)"
11-01-2023 17:45:24.734650,"(31.0, 38.0, 37.216)","(26.0, 36.0, 34.9)","(6.5, 7.4, 7.379150579150579)","(6.0, 7.4, 7.385185185185185)","(11.0, 12.5, 12.020661157024794)","(12.0, 13.5, 13.432865731462925)","(3.8, 4.3, 4.252741514360313)","(11.0, 11.5, 11.303501945525293)","(18.0, 24.0, 23.67058823529412)","(12.0, 13.0, 12.923387096774194)","(31.0, 38.0, 37.16831683168317)","(17.0, 21.0, 20.357142857142858)"
11-01-2023 17:45:26.201507,"(31.0, 38.0, 37.216)","(26.0, 36.0, 34.9)","(6.5, 7.4, 7.372490706319703)","(6.0, 7.4, 7.391633466135459)","(11.0, 12.5, 12.16)","(12.0, 13.5, 13.436432637571157)","(3.8, 4.3, 4.2540272614622054)","(11.0, 11.5, 11.325862068965517)","(18.0, 24.0, 23.683615819209038)","(12.0, 13.0, 12.937086092715232)","(31.0, 38.0, 37.24324324324324)","(17.0, 21.0, 20.387755102040817)"
11-01-2023 17:45:27.607824,"(31.0, 36.0, 35.205882352941174)","(26.0, 36.0, 34.901408450704224)","(6.5, 7.4, 7.381456953642385)","(6.0, 7.4, 7.5627450980392155)","(11.0, 12.5, 12.203980099502488)","(12.0, 13.5, 13.480208333333334)","(3.8, 4.3, 4.250124378109453)","(11.0, 11.5, 11.303174603174604)","(18.0, 24.0, 23.676136363636363)","(12.0, 13.0, 12.953333333333333)","(31.0, 38.0, 37.24409448818898)","(17.0, 21.0, 20.40273037542662)"
11-01-2023 17:45:29.009281,"(31.0, 36.0, 34.642857142857146)","(26.0, 36.0, 34.901408450704224)","(6.5, 7.4, 7.381456953642385)","(6.0, 7.6, 7.569169960474308)","(11.0, 12.5, 12.228310502283104)","(12.0, 13.5, 13.480885311871228)","(3.8, 4.3, 4.253099415204678)","(11.0, 11.5, 11.314925373134328)","(18.0, 24.0, 23.704663212435232)","(11.0, 13.0, 12.978125)","(31.0, 38.0, 37.278195488721806)","(17.0, 21.0, 20.424342105263158)"
11-01-2023 17:45:30.548883,"(31.0, 34.0, 33.516129032258064)","(26.0, 36.0, 34.945945945945944)","(6.5, 7.4, 7.383132530120482)","(6.0, 7.6, 7.574592833876221)","(11.0, 12.5, 12.216577540106952)","(12.0, 13.5, 13.480492813141684)","(3.8, 4.3, 4.252485549132948)","(11.0, 11.5, 11.314925373134328)","(18.0, 24.0, 23.7192118226601)","(11.0, 13.0, 12.979885057471265)","(31.0, 38.0, 37.28787878787879)","(17.0, 21.0, 20.436567164179106)"
11-01-2023 17:45:31.865215,"(31.0, 34.0, 32.85436893203884)","(26.0, 36.0, 34.945945945945944)","(6.5, 7.4, 7.383132530120482)","(6.0, 7.6, 7.574)","(11.0, 12.5, 12.253125)","(12.0, 13.5, 13.480492813141684)","(3.8, 4.3, 4.246174496644295)","(11.0, 11.5, 11.316568047337277)","(18.0, 24.0, 23.7192118226601)","(11.0, 13.0, 12.979885057471265)","(31.0, 38.0, 37.34920634920635)","(17.0, 21.0, 20.425855513307983)"
11-01-2023 17:45:33.271209,"(31.0, 34.0, 33.28484848484848)","(26.0, 36.0, 34.945945945945944)","(6.5, 7.4, 7.3801857585139325)","(6.0, 7.6, 7.572185430463576)","(11.0, 12.5, 12.301507537688442)","(12.0, 13.5, 13.386776859504133)","(3.8, 4.3, 4.244759206798867)","(11.0, 11.5, 11.411538461538461)","(18.0, 24.0, 23.70731707317073)","(11.0, 13.0, 12.952777777777778)","(31.0, 38.0, 37.34920634920635)","(17.0, 21.0, 20.373333333333335)"
11-01-2023 17:45:34.627670,"(31.0, 34.0, 33.247058823529414)","(26.0, 36.0, 34.945945945945944)","(6.5, 7.4, 7.323044397463002)","(6.0, 7.6, 7.572185430463576)","(11.0, 12.5, 12.301507537688442)","(12.0, 13.5, 13.386963696369637)","(3.8, 4.3, 4.233219178082192)","(11.0, 11.5, 11.36896551724138)","(18.0, 24.0, 23.70731707317073)","(11.0, 13.0, 12.94054054054054)","(31.0, 38.0, 37.34920634920635)","(17.0, 21.0, 20.354515050167223)"
11-01-2023 17:45:36.188285,"(31.0, 34.0, 32.79245283018868)","(26.0, 36.0, 34.98701298701299)","(6.5, 7.4, 7.325256673511294)","(6.0, 7.6, 7.574233128834355)","(11.0, 12.5, 12.391428571428571)","(12.0, 13.5, 13.389871382636656)","(3.9, 4.3, 4.241666666666667)","(11.0, 11.5, 11.287822878228782)","(18.0, 24.0, 23.72093023255814)","(12.0, 13.0, 12.961009174311927)","(31.0, 38.0, 37.37404580152672)","(17.0, 21.0, 20.38157894736842)"
11-01-2023 17:45:37.778843,"(31.0, 34.0, 32.80769230769231)","(26.0, 36.0, 34.98701298701299)","(6.5, 7.4, 7.316704805491991)","(6.0, 7.6, 7.574233128834355)","(11.0, 12.5, 12.353092783505154)","(12.0, 13.5, 13.389871382636656)","(3.9, 4.3, 4.2563157894736845)","(11.0, 11.5, 11.287822878228782)","(18.0, 24.0, 23.72093023255814)","(12.0, 13.0, 13.277777777777779)","(31.0, 38.0, 37.31386861313869)","(17.0, 21.0, 20.38157894736842)"
11-01-2023 17:45:39.201709,"(26.0, 34.0, 32.80769230769231)","(26.0, 36.0, 34.98701298701299)","(6.5, 7.4, 7.316704805491991)","(6.0, 7.6, 7.574233128834355)","(11.0, 12.5, 12.308)","(12.0, 13.5, 13.389871382636656)","(3.9, 4.3, 4.2563157894736845)","(10.0, 11.5, 11.230046948356808)","(18.0, 24.0, 23.72093023255814)","(12.0, 13.5, 13.25968992248062)","(31.0, 38.0, 37.37404580152672)","(17.0, 21.0, 20.36513157894737)"
11-01-2023 17:45:40.559154,"(26.0, 34.0, 32.80769230769231)","(26.0, 36.0, 34.98701298701299)","(6.5, 7.4, 7.316704805491991)","(6.0, 7.6, 7.573831775700934)","(11.0, 12.5, 12.308)","(12.0, 13.5, 13.389871382636656)","(3.9, 4.3, 4.231813676907829)","(10.0, 11.5, 11.213302752293577)","(18.0, 24.0, 23.72093023255814)","(12.0, 13.5, 13.25968992248062)","(31.0, 38.0, 37.37404580152672)","(17.0, 21.0, 20.36513157894737)"
11-01-2023 17:45:42.069002,"(26.0, 34.0, 32.96969696969697)","(26.0, 36.0, 35.00662251655629)","(6.5, 7.4, 7.319290465631929)","(6.5, 7.6, 7.574850299401198)","(11.0, 12.5, 12.319548872180452)","(11.0, 13.5, 13.3904)","(3.9, 4.3, 4.230077369439072)","(10.0, 11.5, 11.224669603524228)","(19.0, 24.0, 23.72093023255814)","(12.0, 13.5, 13.276)","(31.0, 38.0, 37.31386861313869)","(17.0, 21.0, 20.38157894736842)"
11-01-2023 17:45:43.430339,"(26.0, 34.0, 32.96969696969697)","(26.0, 36.0, 35.00662251655629)","(6.5, 7.4, 7.319290465631929)","(6.5, 7.6, 7.574850299401198)","(11.0, 12.5, 12.319548872180452)","(11.0, 13.5, 13.387301587301588)","(3.9, 4.3, 4.229814271749755)","(10.0, 11.5, 11.196601941747574)","(19.0, 24.0, 23.7)","(12.0, 13.5, 13.376190476190477)","(31.0, 38.0, 37.31386861313869)","(17.0, 21.0, 20.38157894736842)"
11-01-2023 17:45:44.856771,"(26.0, 34.0, 33.01923076923077)","(26.0, 36.0, 35.00662251655629)","(6.5, 7.4, 7.321720430107527)","(6.5, 7.6, 7.519427402862986)","(11.0, 12.5, 12.319548872180452)","(11.0, 13.5, 13.381863560732112)","(3.9, 4.3, 4.228414755732802)","(10.0, 11.5, 11.196601941747574)","(19.0, 24.0, 23.7)","(12.0, 13.5, 13.457894736842105)","(31.0, 38.0, 37.31386861313869)","(17.0, 21.0, 20.38157894736842)"
11-01-2023 17:45:46.139062,"(26.0, 34.0, 33.01923076923077)","(26.0, 36.0, 35.00662251655629)","(6.5, 7.4, 7.321720430107527)","(6.5, 7.6, 7.519427402862986)","(11.0, 12.5, 12.319548872180452)","(11.0, 13.5, 13.381863560732112)","(3.9, 4.3, 4.2244514106583075)","(10.0, 11.5, 11.219730941704036)","(19.0, 24.0, 23.71153846153846)","(12.0, 13.5, 13.443478260869565)","(31.0, 38.0, 37.34265734265734)","(17.0, 21.0, 20.433691756272403)"
11-01-2023 17:45:47.567926,"(26.0, 34.0, 32.86363636363637)","(26.0, 36.0, 35.044585987261144)","(6.5, 7.4, 7.326016260162602)","(6.5, 7.6, 7.5212)","(11.0, 12.5, 12.282442748091603)","(11.0, 13.5, 13.37560975609756)","(3.9, 4.3, 4.2059973924380705)","(10.0, 11.5, 11.210648148148149)","(19.0, 24.0, 23.743718592964825)","(12.0, 13.5, 13.338028169014084)","(31.0, 38.0, 37.34722222222222)","(17.0, 21.0, 20.13)"
11-01-2023 17:45:49.258580,"(26.0, 34.0, 32.026666666666664)","(26.0, 36.0, 35.056603773584904)","(6.5, 7.6, 7.440514469453376)","(6.5, 7.6, 7.532894736842105)","(11.0, 12.5, 12.294573643410853)","(11.0, 13.5, 12.651960784313726)","(3.9, 4.3, 4.208510638297872)","(10.0, 11.5, 11.123493975903614)","(19.0, 24.0, 23.743718592964825)","(12.0, 13.5, 13.4)","(31.0, 38.0, 37.34265734265734)","(17.0, 21.0, 20.057620817843866)"
11-01-2023 17:45:50.683801,"(26.0, 34.0, 32.17283950617284)","(26.0, 36.0, 35.044585987261144)","(6.5, 7.6, 7.493294460641399)","(6.5, 7.6, 7.597241379310344)","(11.0, 12.5, 12.354395604395604)","(11.0, 13.0, 12.61214953271028)","(3.9, 4.3, 4.212964169381107)","(10.0, 11.5, 11.2568093385214)","(19.0, 24.0, 24.50943396226415)","(12.0, 13.5, 13.361842105263158)","(31.0, 38.0, 37.77777777777778)","(17.0, 21.0, 19.84642857142857)"
11-01-2023 17:45:52.109813,"(26.0, 34.0, 32.81967213114754)","(26.0, 36.0, 35.19786096256684)","(6.5, 7.6, 7.520779220779221)","(6.5, 7.6, 7.713333333333334)","(11.0, 12.5, 12.395705521472392)","(11.0, 13.0, 12.654723127035831)","(3.9, 4.3, 4.212964169381107)","(10.0, 11.5, 11.2568093385214)","(19.0, 25.0, 24.50943396226415)","(12.0, 13.5, 13.625)","(31.0, 38.0, 38.54814814814815)","(17.0, 20.0, 19.669082125603865)"
11-01-2023 17:45:53.801133,"(26.0, 34.0, 61.93684210526316)","(26.0, 36.0, 42.0)","(6.5, 7.6, 8.882352941176471)","(6.5, 8.0, 9.462068965517242)","(11.0, 12.5, 16.083333333333336)","(11.0, 13.0, 18.75)","(3.9, 4.3, 4.260416666666667)","(10.0, 11.5, 17.3)","(19.0, 25.0, 18.5)","(12.0, 14.5, 16.5)","(31.0, 60.0, 48.0)","(17.0, 32.0, 26.72222222222222)"
11-01-2023 17:45:55.408969,"(26.0, 65.0, 25.72222222222222)","(26.0, 55.0, 40.4)","(6.5, 9.4, 6.6909090909090905)","(6.5, 12.0, 8.71304347826087)","(11.0, 16.5, 14.333333333333332)","(11.0, 21.0, 4.751612903225807)","(3.9, 4.5, 4.260416666666667)","(10.0, 18.0, 17.3)","(19.0, 36.0, 22.875)","(12.0, 21.0, 16.5)","(31.0, 60.0, 45.0)","(17.0, 32.0, 25.842105263157894)"
