,Magical Trav,Wheres The Ford,Two Jabs,Magical Len,Ferocity
08-01-2023 14:04:41.237140,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.18181818181818)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:42.053330,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.18181818181818)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:42.901060,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.18181818181818)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:43.752836,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.18181818181818)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:44.660730,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.18181818181818)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:45.558370,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.18181818181818)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:46.375588,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.18181818181818)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:47.280971,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.18181818181818)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:48.283015,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:49.198511,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:50.054939,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:50.890621,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:51.760930,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:52.640692,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:53.484176,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:54.274089,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:55.187968,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:56.111262,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:56.955242,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:57.783962,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:58.674961,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:59.609061,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:00.488723,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:01.326982,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
