,Claudys Secret,Southwind Chloe,Miss Avenger,Kyvalley Anthony,Grumpee,Romantic Nina
06-01-2023 16:38:38.241614,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:39.309227,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:40.307663,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:41.245118,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:42.145782,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:43.172189,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 24.5)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:44.133716,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:45.299759,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:46.324303,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:47.299281,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
