,Taking A Toll,Zamboras Girl,Kouta Marjen,Dance Mode,Mr Larson,Long Way Home
12-01-2023 14:39:08.642166,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:09.820683,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:10.936809,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:11.941258,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:13.006940,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:14.067275,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:15.110147,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:16.106594,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:17.125155,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:18.193641,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:19.211260,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:20.215610,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:21.180640,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
