,Highway Man,Oodnadatta Man,Mayfair Ronnie,Akina Onyx,So Joe Mac,Waves Crashing,Thylacine
09-01-2023 16:08:12.841649,"(15.0, 90.0, 72.25)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:13.818741,"(15.0, 90.0, 72.25)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:14.824238,"(15.0, 90.0, 72.25)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:15.821572,"(15.0, 90.0, 72.25)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:17.016906,"(15.0, 90.0, 72.25)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:17.942694,"(15.0, 90.0, 72.25)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:18.953050,"(15.0, 90.0, 72.25)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:19.950385,"(15.0, 90.0, 72.25)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:20.943836,"(15.0, 90.0, 72.25)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:22.084554,"(15.0, 90.0, 72.25)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
